source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[strain or breed]	characteristics[growth state]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[TurboID PTS signal]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[proteomics data acquisition method]	comment[fixed modifications]	comment[variable modifications]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Sample 11	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	3	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB66-3_4uL_A.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 12	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	4	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB66-4_4uL_A.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 13	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	1	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB64-1_4uL_A1.raw	PTS2	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 14	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	2	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB64-2_4uL_A.raw	PTS2	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 15	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	3	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB64-3_4uL_A.raw	PTS2	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 16	Histoplasma ohiense	not available	not available	Yeast	?pex5	Media	4	Assay 2	proteomic profiling by mass spectrometry	032725_71501_OSU445-PB64-4_4uL_A.raw	PTS2	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 17	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	1	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-66-1_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 18	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	2	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-66-2_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 19	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	3	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-66-3_4uL_A.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 20	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	4	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-66-4_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 21	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	1	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-65-1_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 22	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	2	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-65-2_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 23	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	3	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-65-3_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 24	Histoplasma ohiense	not available	not available	Yeast	?pex7	Media	4	Assay 3	proteomic profiling by mass spectrometry	031525_71510_OSU641-65-4_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 25	Histoplasma ohiense	not available	not available	Yeast	Wild type	Intramacrophage	1	Assay 4	proteomic profiling by mass spectrometry	082225_71672_OSU642_1_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 26	Histoplasma ohiense	not available	not available	Yeast	Wild type	Intramacrophage	2	Assay 4	proteomic profiling by mass spectrometry	082225_71672_OSU642_2_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 27	Histoplasma ohiense	not available	not available	Yeast	Wild type	Intramacrophage	3	Assay 4	proteomic profiling by mass spectrometry	082225_71672_OSU642_3_4uL.raw	None	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 28	Histoplasma ohiense	not available	not available	Yeast	Wild type	Intramacrophage	1	Assay 4	proteomic profiling by mass spectrometry	082225_71672_OSU643_1_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 29	Histoplasma ohiense	not available	not available	Yeast	Wild type	Intramacrophage	2	Assay 4	proteomic profiling by mass spectrometry	082225_71672_OSU643_2_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Sample 30	Histoplasma ohiense	not available	not available	Yeast	Wild type	Intramacrophage	3	Assay 4	proteomic profiling by mass spectrometry	082225_71672_OSU643_3_4uL.raw	PTS1	1	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	Carbamidomethyl (C)	Oxidation (M); Deamidation (NQ); Ubiquitylation (K); Phosphorylation (ST)	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
