source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]
20210121_DC2101_1_H005XST_C2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	21	20210121_DC2101_1_H005XST_C2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_C3	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	22	20210121_DC2101_1_H005XST_C3	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_C4	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	23	20210121_DC2101_1_H005XST_C4	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_C5	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	24	20210121_DC2101_1_H005XST_C5	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_C6	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	25	20210121_DC2101_1_H005XST_C6	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_C7	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	26	20210121_DC2101_1_H005XST_C7	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_C8	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	27	20210121_DC2101_1_H005XST_C8	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_C9	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	28	20210121_DC2101_1_H005XST_C9	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_C9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_D10	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	29	20210121_DC2101_1_H005XST_D10	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_D10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
20210121_DC2101_1_H005XST_D2	Homo sapiens	not applicable	epithelial cell	normal	HEK293T	CVCL_0063	adult	not available	female	30	20210121_DC2101_1_H005XST_D2	proteomic profiling by mass spectrometry	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=HCD;AC=MS:1000422	1	1	20210121_DC2101_1_H005XST_D2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available
