source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]
IPX0002031000-Sample 11	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 11	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp037366_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190123_F3_R1.raw	Exp037366_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190123_F3_R1.raw
IPX0002031000-Sample 12	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 12	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp033933_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181222_F1_R1.raw	Exp033933_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181222_F1_R1.raw
IPX0002031000-Sample 13	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 13	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047494_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190328_F1_R1.raw	Exp047494_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190328_F1_R1.raw
IPX0002031000-Sample 14	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 14	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp033932_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181206_F2_R1.raw	Exp033932_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181206_F2_R1.raw
IPX0002031000-Sample 15	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 15	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp035624_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181228_F3_R1.raw	Exp035624_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181228_F3_R1.raw
IPX0002031000-Sample 16	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 16	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp036938_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190117_F3_R1.raw	Exp036938_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190117_F3_R1.raw
IPX0002031000-Sample 17	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 17	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp033942_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181219_F1_R1.raw	Exp033942_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181219_F1_R1.raw
IPX0002031000-Sample 18	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 18	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047508_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190411_F2_R1.raw	Exp047508_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190411_F2_R1.raw
IPX0002031000-Sample 19	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 19	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp040849_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190307_F3_R1.raw	Exp040849_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190307_F3_R1.raw
IPX0002031000-Sample 20	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 20	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp033954_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181213_F3_R1.raw	Exp033954_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181213_F3_R1.raw
IPX0002031000-Sample 21	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 21	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp034632_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181224_F3_R1.raw	Exp034632_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181224_F3_R1.raw
IPX0002031000-Sample 22	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 22	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047509_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190413_F2_R1.raw	Exp047509_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190413_F2_R1.raw
IPX0002031000-Sample 23	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 23	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047514_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190520_F2_R1.raw	Exp047514_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190520_F2_R1.raw
IPX0002031000-Sample 24	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 24	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047436_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190126_F2_R1.raw	Exp047436_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190126_F2_R1.raw
IPX0002031000-Sample 25	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 25	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp036311_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190116_F1_R1.raw	Exp036311_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190116_F1_R1.raw
IPX0002031000-Sample 26	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 26	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047504_DingC_FFPE_Giloma_Tumor_HFX3_75min_80per_20190406_F3_R1.raw	Exp047504_DingC_FFPE_Giloma_Tumor_HFX3_75min_80per_20190406_F3_R1.raw
IPX0002031000-Sample 27	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 27	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp032153_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181201_F3_R1.raw	Exp032153_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181201_F3_R1.raw
IPX0002031000-Sample 28	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 28	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp036939_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190115_F2_R1.raw	Exp036939_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190115_F2_R1.raw
IPX0002031000-Sample 29	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 29	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp033934_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181214_F2_R1.raw	Exp033934_DingC_FFPE_Giloma_Tumor_HFX3_75min_33per_20181214_F2_R1.raw
IPX0002031000-Sample 30	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 30	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp030509_4_DingC_Glioma_Tumor_HFX4_75min_15cm_30per_20181007_F3_R1.raw	Exp030509_4_DingC_Glioma_Tumor_HFX4_75min_15cm_30per_20181007_F3_R1.raw
IPX0002031000-Sample 31	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 31	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp047451_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190131_F2_R1.raw	Exp047451_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190131_F2_R1.raw
IPX0002031000-Sample 32	homo sapiens	brain	not available	not available	not available	not available	1	tissue	not available	not available	run 32	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	10 ppm	0.05 Da	AC=MS:1000422;NT=HCD	AC=MS:1001313;NT=Trypsin/P	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/lustrefs/msnet/IPX0002031000/IPX0002031001/Exp040827_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190301_F3_R1.raw	Exp040827_DingC_FFPE_Giloma_Tumor_HFX3_75min_50per_20190301_F3_R1.raw
