source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[diet duration]	characteristics[diet]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[diet duration]	factor value[treatment]
mouse_12	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	Drug Vehicle	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_12	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Drug Vehicle
mouse_13	Mus musculus	blood plasma	not applicable	1	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_13_20180917105153	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_13_20180917105153.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GIP receptor agonist
mouse_15	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_15	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_16	Mus musculus	blood plasma	not applicable	4	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_16	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_17	Mus musculus	blood plasma	not applicable	5	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_17	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_18	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_18	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_19	Mus musculus	blood plasma	not applicable	7	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_19_20180914234228	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_19_20180914234228.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_20	Mus musculus	blood plasma	not applicable	8	not pooled	metabolic dysfunction-associated steatotic liver disease	Dual GIP/GLP-1 Receptor Agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_20	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	Dual GIP/GLP-1 Receptor Agonist
mouse_21	Mus musculus	blood plasma	not applicable	6	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_21	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GLP-1 receptor agonist
mouse_22	Mus musculus	blood plasma	not applicable	7	not pooled	metabolic dysfunction-associated steatotic liver disease	GLP-1 receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_22	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GLP-1 receptor agonist
mouse_24	Mus musculus	blood plasma	not applicable	2	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_24	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GIP receptor agonist
mouse_25	Mus musculus	blood plasma	not applicable	3	not pooled	metabolic dysfunction-associated steatotic liver disease	GIP receptor agonist	adult	C57BL/6J	male	more than 6 months	high fat diet	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_25	proteomic profiling by mass spectrometry	1	20180915_QE9_nLC13_LiNi_SA_NAFLD_MaTs_mouseplasma_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	350m/z-1650m/z	350	1444.75	not available	not available	more than 6 months	GIP receptor agonist
