source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]
121217_V2_P6_CH_CL_1W_1_6	121217_V2_P6_CH_CL_1W_1_6	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121217_V2_P6_CH_CL_1W_1_6	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121217_V2_P6_CH_CL_1W_1_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121217_V2_P6_CH_CL_1W_1_6
121217_V2_P6_CH_CL_1W_1_8	121217_V2_P6_CH_CL_1W_1_8	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121217_V2_P6_CH_CL_1W_1_8	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121217_V2_P6_CH_CL_1W_1_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121217_V2_P6_CH_CL_1W_1_8
121217_V2_P6_CH_CL_1W_1_9	121217_V2_P6_CH_CL_1W_1_9	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121217_V2_P6_CH_CL_1W_1_9	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121217_V2_P6_CH_CL_1W_1_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121217_V2_P6_CH_CL_1W_1_9
130103_V2_P6_CH_CL_K_1_3	130103_V2_P6_CH_CL_K_1_3	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	130103_V2_P6_CH_CL_K_1_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	130103_V2_P6_CH_CL_K_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	130103_V2_P6_CH_CL_K_1_3
130104_V2_P6_CH_CL_K_2_8	130104_V2_P6_CH_CL_K_2_8	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	130104_V2_P6_CH_CL_K_2_8	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	130104_V2_P6_CH_CL_K_2_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	130104_V2_P6_CH_CL_K_2_8
140411_V2_P6_CH_CL_MB_1_10	140411_V2_P6_CH_CL_MB_1_10	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	140411_V2_P6_CH_CL_MB_1_10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	140411_V2_P6_CH_CL_MB_1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	140411_V2_P6_CH_CL_MB_1_10
140411_V2_P6_CH_CL_MB_1_9	140411_V2_P6_CH_CL_MB_1_9	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	140411_V2_P6_CH_CL_MB_1_9	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	140411_V2_P6_CH_CL_MB_1_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	140411_V2_P6_CH_CL_MB_1_9
140412_V2_P6_CH_CL_MB_2_5	140412_V2_P6_CH_CL_MB_2_5	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	140412_V2_P6_CH_CL_MB_2_5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	140412_V2_P6_CH_CL_MB_2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	140412_V2_P6_CH_CL_MB_2_5
140412_V2_P6_CH_CL_MB_2_7	140412_V2_P6_CH_CL_MB_2_7	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	140412_V2_P6_CH_CL_MB_2_7	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	140412_V2_P6_CH_CL_MB_2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	140412_V2_P6_CH_CL_MB_2_7
140413_V2_P6_CH_CL_MB_3_1	140413_V2_P6_CH_CL_MB_3_1	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	140413_V2_P6_CH_CL_MB_3_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	140413_V2_P6_CH_CL_MB_3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	140413_V2_P6_CH_CL_MB_3_1
140413_V2_P6_CH_CL_MB_3_10	140413_V2_P6_CH_CL_MB_3_10	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	140413_V2_P6_CH_CL_MB_3_10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	140413_V2_P6_CH_CL_MB_3_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	140413_V2_P6_CH_CL_MB_3_10
