source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[sampling site]	characteristics[individual]	characteristics[compound]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell line]	factor value[compound]	factor value[sampling time]	factor value[enrichment process]
NCI-H508-C-48h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	dimethyl sulfoxide	48 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_C_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_C_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	dimethyl sulfoxide	48 hour	enrichment of phosphorylated protein
NCI-H508-C-5min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	dimethyl sulfoxide	5 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_C_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_C_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	dimethyl sulfoxide	5 minute	enrichment of phosphorylated protein
NCI-H508-C-6h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	dimethyl sulfoxide	6 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_C_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_C_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	dimethyl sulfoxide	6 hour	enrichment of phosphorylated protein
NCI-H508-C-96h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	dimethyl sulfoxide	96 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_C_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_C_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	dimethyl sulfoxide	96 hour	enrichment of phosphorylated protein
NCI-H508-IM-15min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	imatinib	15 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_IM_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_IM_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	imatinib	15 minute	enrichment of phosphorylated protein
NCI-H508-IM-1h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	imatinib	1 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_IM_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_IM_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	imatinib	1 hour	enrichment of phosphorylated protein
NCI-H508-IM-24h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	imatinib	24 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_IM_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_IM_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	imatinib	24 hour	enrichment of phosphorylated protein
NCI-H508-IM-48h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	imatinib	48 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_IM_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_IM_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	imatinib	48 hour	enrichment of phosphorylated protein
NCI-H508-IM-5min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	imatinib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_IM_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_IM_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	imatinib	5 minute	enrichment of phosphorylated protein
NCI-H508-IM-6h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	imatinib	6 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_IM_6h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_IM_6h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	imatinib	6 hour	enrichment of phosphorylated protein
NCI-H508-IM-96h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	imatinib	96 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_IM_96h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_IM_96h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	imatinib	96 hour	enrichment of phosphorylated protein
NCI-H508-LI-15min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	linsitinib	15 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_LI_15min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_LI_15min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	linsitinib	15 minute	enrichment of phosphorylated protein
NCI-H508-LI-1h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	linsitinib	1 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_LI_1h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_LI_1h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	linsitinib	1 hour	enrichment of phosphorylated protein
NCI-H508-LI-24h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	linsitinib	24 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_LI_24h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_LI_24h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	linsitinib	24 hour	enrichment of phosphorylated protein
NCI-H508-LI-48h-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	linsitinib	48 hour	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_LI_48h	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_LI_48h.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	linsitinib	48 hour	enrichment of phosphorylated protein
NCI-H508-LI-5min-r1-phos	Homo sapiens	abdominal wall	not available	NCI-H508	CVCL_1564	NCI-H508	cecum adenocarcinoma	adult	55Y	male	European ancestry	abdominal wall	not applicable	linsitinib	5 minute	enrichment of phosphorylated protein	cell	1	run 20190614_George_H508_phos_LI_5min	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Fusion Lumos;AC=MS:1002732	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	NT=beam-type collision-induced dissociation;AC=MS:1000422	28 NCE	not available	not available	not available	350	1650	1	1	20190614_George_H508_phos_LI_5min.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NCI-H508	linsitinib	5 minute	enrichment of phosphorylated protein
