source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
OR6_20140328_GM_KI_Glioma_Mix1_Fr6	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR6_20140328_GM_KI_Glioma_Mix1_Fr6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	6	1	OR6_20140328_GM_KI_Glioma_Mix1_Fr6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR6_20140328_GM_KI_Glioma_Mix1_Fr6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR9_20140404_proxE_GM_KI_Glioma_Phospho_Mix2	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR9_20140404_proxE_GM_KI_Glioma_Phospho_Mix2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	OR9_20140404_proxE_GM_KI_Glioma_Phospho_Mix2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR9_20140404_proxE_GM_KI_Glioma_Phospho_Mix2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140403_GM_KI_Glioma_Mix1_Fr10	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	10	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140403_GM_KI_Glioma_Mix1_Fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140405_GM_KI_Glioma_Mix2_Fr9	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	9	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140405_GM_KI_Glioma_Mix2_Fr9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140407_GM_KI_Glioma_Mix3_Fr8	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	8	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140407_GM_KI_Glioma_Mix3_Fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140405_GM_KI_Glioma_Mix2_Fr8	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	8	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140405_GM_KI_Glioma_Mix2_Fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140403_GM_KI_Glioma_Mix1_Fr9	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	9	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140403_GM_KI_Glioma_Mix1_Fr9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140405_GM_KI_Glioma_Mix2_ReRun2	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140405_GM_KI_Glioma_Mix2_ReRun2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	1	1	OR7_20140405_GM_KI_Glioma_Mix2_ReRun2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140405_GM_KI_Glioma_Mix2_ReRun2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140407_GM_KI_Glioma_Mix3_Fr12	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	12	1	OR7_20140407_GM_KI_Glioma_Mix3_Fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140407_GM_KI_Glioma_Mix3_Fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140403_GM_KI_Glioma_Mix1_Fr12	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	12	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140403_GM_KI_Glioma_Mix1_Fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140403_GM_KI_Glioma_Mix1_Fr11	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	11	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140403_GM_KI_Glioma_Mix1_Fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140403_GM_KI_Glioma_Mix1_Fr8	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	8	1	OR7_20140403_GM_KI_Glioma_Mix1_Fr8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140403_GM_KI_Glioma_Mix1_Fr8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
OR7_20140405_GM_KI_Glioma_Mix2_Fr11	homo sapiens	Cell culture	not applicable	Glioblastoma	enrichment of phosphorylated protein	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	0.05 Da	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	11	1	OR7_20140405_GM_KI_Glioma_Mix2_Fr11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD000970/OR7_20140405_GM_KI_Glioma_Mix2_Fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
