source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]
LINCS Set4	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	4	cell line	LINCS Set4	not available	not available	not available	female	run 11	proteomic profiling by mass spectrometry	3	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set4_Fr3b_L02589.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set4	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	4	cell line	LINCS Set4	not available	not available	not available	female	run 12	proteomic profiling by mass spectrometry	11	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set4_Fr11_L02365.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set4	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	4	cell line	LINCS Set4	not available	not available	not available	female	run 13	proteomic profiling by mass spectrometry	12	1	TMT10	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set4_Fr12_L02366.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set5	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	5	cell line	LINCS Set5	not available	not available	not available	female	run 14	proteomic profiling by mass spectrometry	4	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set5_Fr4_L08235.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set5	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	5	cell line	LINCS Set5	not available	not available	not available	female	run 15	proteomic profiling by mass spectrometry	9	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set5_Fr9_L08241.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set5	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	5	cell line	LINCS Set5	not available	not available	not available	female	run 16	proteomic profiling by mass spectrometry	13	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set5_Fr13_L08286.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set5	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	5	cell line	LINCS Set5	not available	not available	not available	female	run 17	proteomic profiling by mass spectrometry	17	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set5_Fr17_RTS_L08276.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set6	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	6	cell line	LINCS Set6	not available	not available	not available	female	run 18	proteomic profiling by mass spectrometry	1	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set6_Fr1_L08508.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set6	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	6	cell line	LINCS Set6	not available	not available	not available	female	run 19	proteomic profiling by mass spectrometry	6	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set6_Fr6_L08513.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set6	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	6	cell line	LINCS Set6	not available	not available	not available	female	run 20	proteomic profiling by mass spectrometry	15	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set6_Fr15_rerun_L08522.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set6	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	6	cell line	LINCS Set6	not available	not available	not available	female	run 21	proteomic profiling by mass spectrometry	17	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set6_Fr17_rerun_L08523.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set6	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	6	cell line	LINCS Set6	not available	not available	not available	female	run 22	proteomic profiling by mass spectrometry	19	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set6_Fr19_L08514_20190818173749.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set6	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	6	cell line	LINCS Set6	not available	not available	not available	female	run 23	proteomic profiling by mass spectrometry	21	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set6_Fr21_L08516_20190819031441.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set7	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	7	cell line	LINCS Set7	not available	not available	not available	female	run 24	proteomic profiling by mass spectrometry	1	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set7_Fr1_L08535.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set7	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	7	cell line	LINCS Set7	not available	not available	not available	female	run 25	proteomic profiling by mass spectrometry	4	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set7_Fr4_L08538.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set7	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	7	cell line	LINCS Set7	not available	not available	not available	female	run 26	proteomic profiling by mass spectrometry	4	2	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set7_Fr4_rerun_L08556.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set7	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	7	cell line	LINCS Set7	not available	not available	not available	female	run 27	proteomic profiling by mass spectrometry	11	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set7_Fr11L08545.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set7	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	7	cell line	LINCS Set7	not available	not available	not available	female	run 28	proteomic profiling by mass spectrometry	14	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set7_Fr14_rerun_L08581.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set7	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	7	cell line	LINCS Set7	not available	not available	not available	female	run 29	proteomic profiling by mass spectrometry	17	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set7_Fr17_rerun_L08584.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set8	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	8	cell line	LINCS Set8	not available	not available	not available	female	run 30	proteomic profiling by mass spectrometry	4	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set8_Fr4_L08765.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set8	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	8	cell line	LINCS Set8	not available	not available	not available	female	run 31	proteomic profiling by mass spectrometry	8	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set8_Fr8_L08770.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set8	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	8	cell line	LINCS Set8	not available	not available	not available	female	run 32	proteomic profiling by mass spectrometry	8	2	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set8_Fr8_reshot_L08820.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set8	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	8	cell line	LINCS Set8	not available	not available	not available	female	run 33	proteomic profiling by mass spectrometry	10	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set8_Fr10_reshot_L08822.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set8	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	8	cell line	LINCS Set8	not available	not available	not available	female	run 34	proteomic profiling by mass spectrometry	20	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set8_Fr20_reshot_L08834.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
LINCS Set8	Homo sapiens	mammary gland	breast carcinoma	epithelial cell	8	cell line	LINCS Set8	not available	not available	not available	female	run 35	proteomic profiling by mass spectrometry	22	1	TMT11	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	20 ppm	0.6 Da	NT=Data-dependent acquisition;AC=PRIDE:0000627	LINCS_Set8_Fr22_reshot_L08809.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	breast carcinoma
