source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[biorepository]	characteristics[culture medium]	characteristics[passage number]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[genotype]	characteristics[compound]	characteristics[dose]	characteristics[treatment]	characteristics[sampling time]	characteristics[exposure duration]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[treatment]	factor value[sampling time]
PANC1_PB48_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	48 hour	48 hour	1	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_12_150427_Xuwang_PB48_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	48 hour
PANC1_PB72_r1	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	72 hour	72 hour	1	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_13_150427_Xuwang_PB72_1_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	72 hour
PANC1_vehicle_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	untreated	not available	not applicable	2	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_14_150427_Xuwang_ctr_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	untreated	not available
PANC1_B6_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	6 hour	6 hour	2	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_15_150427_Xuwang_B6_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	6 hour
PANC1_B24_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	24 hour	24 hour	2	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_16_2_150427_Xuwang_B24_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	24 hour
PANC1_B48_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	48 hour	48 hour	2	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_17_150427_Xuwang_B48_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	48 hour
PANC1_B72_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	72 hour	72 hour	2	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_18_150427_Xuwang_B72_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	72 hour
PANC1_P6_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	6 hour	6 hour	2	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_19_150427_Xuwang_P6_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	6 hour
PANC1_P24_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	24 hour	24 hour	2	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_20_150427_Xuwang_P24_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	24 hour
PANC1_P48_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	48 hour	48 hour	2	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_21_150427_Xuwang_P48_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	48 hour
PANC1_P72_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	paclitaxel	10 nM	paclitaxel	72 hour	72 hour	2	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_22_150427_Xuwang_P72_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	paclitaxel	72 hour
PANC1_PB6_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	6 hour	6 hour	2	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_23_150427_Xuwang_PB6_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	6 hour
PANC1_PB24_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	24 hour	24 hour	2	run 24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_24_150427_Xuwang_PB24_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	24 hour
PANC1_PB48_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	48 hour	48 hour	2	run 25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_25_150427_Xuwang_PB48_2_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	48 hour
PANC1_PB72_r2	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	birinapant and paclitaxel	72 hour	72 hour	2	run 26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_26_150427_Xuwang_PB72_2_4ul_3um_column_97_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant and paclitaxel	72 hour
PANC1_vehicle_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	untreated	not available	not applicable	3	run 27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_27_150427_Xuwang_ctr_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	untreated	not available
PANC1_vehicle_r4	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	not applicable	not applicable	untreated	not available	not applicable	4	run 28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_28_150427_Xuwang_ctr_4_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	untreated	not available
PANC1_B6_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	6 hour	6 hour	3	run 29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_29_150427_Xuwang_B6_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	6 hour
PANC1_B24_r3	Homo sapiens	pancreas	pancreatic ductal cell	pancreatic ductal adenocarcinoma	cell line	PANC-1 cell	CVCL_0480	PANC-1	pancreas	56Y	male	not available	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	not available	-80 °C	KRAS G12D; TP53 R273H; CDKN2A homozygous deletion	Birinapant	100 nM	birinapant	24 hour	24 hour	3	run 30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	20 ppm	0.02 Da	NT=orbitrap;AC=MS:1000484	1	1	B02_30_150427_Xuwang_B24_3_4ul_3um_column_99_HCD_OT_2hrs_30B_cal.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	birinapant	24 hour
