source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20110812_16_PS_NPO7	mus musculus	Skin	not applicable	not available	1	20110812_16_PS_NPO7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_16_PS_NPO7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_16_PS_NPO7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_08_PS_PO7	mus musculus	Skin	not applicable	not available	1	20110812_08_PS_PO7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_08_PS_PO7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_08_PS_PO7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_15_PS_NPO6	mus musculus	Skin	not applicable	not available	1	20110812_15_PS_NPO6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_15_PS_NPO6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_15_PS_NPO6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_06_PS_PO5	mus musculus	Skin	not applicable	not available	1	20110812_06_PS_PO5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_06_PS_PO5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_06_PS_PO5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_10_PS_NPO1	mus musculus	Skin	not applicable	not available	1	20110812_10_PS_NPO1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_10_PS_NPO1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_10_PS_NPO1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_13_PS_NPO4	mus musculus	Skin	not applicable	not available	1	20110812_13_PS_NPO4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_13_PS_NPO4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_13_PS_NPO4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131104_09_4xTAILS20131004_npo5	mus musculus	Skin	not applicable	not available	1	20131104_09_4xTAILS20131004_npo5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131104_09_4xTAILS20131004_npo5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131104_09_4xTAILS20131004_npo5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_14_PS_NPO5	mus musculus	Skin	not applicable	not available	1	20110812_14_PS_NPO5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_14_PS_NPO5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_14_PS_NPO5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20110812_05_PS_PO4	mus musculus	Skin	not applicable	not available	1	20110812_05_PS_PO4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20110812_05_PS_PO4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20110812_05_PS_PO4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131022_08_4plexTAILS20131004_po4	mus musculus	Skin	not applicable	not available	1	20131022_08_4plexTAILS20131004_po4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131022_08_4plexTAILS20131004_po4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131022_08_4plexTAILS20131004_po4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131104_08_4xTAILS20131004_npo4	mus musculus	Skin	not applicable	not available	1	20131104_08_4xTAILS20131004_npo4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131104_08_4xTAILS20131004_npo4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131104_08_4xTAILS20131004_npo4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131022_05_4plexTAILS20131014_po1	mus musculus	Skin	not applicable	not available	1	20131022_05_4plexTAILS20131014_po1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131022_05_4plexTAILS20131014_po1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131022_05_4plexTAILS20131014_po1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131104_06_4xTAILS20131004_npo2	mus musculus	Skin	not applicable	not available	1	20131104_06_4xTAILS20131004_npo2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131104_06_4xTAILS20131004_npo2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131104_06_4xTAILS20131004_npo2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131104_07_4xTAILS20131004_npo3	mus musculus	Skin	not applicable	not available	1	20131104_07_4xTAILS20131004_npo3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131104_07_4xTAILS20131004_npo3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131104_07_4xTAILS20131004_npo3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
20131022_10_4plexTAILS20131004_po6	mus musculus	Skin	not applicable	not available	1	20131022_10_4plexTAILS20131004_po6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.8 Da	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131022_10_4plexTAILS20131004_po6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/10/PXD002474/20131022_10_4plexTAILS20131004_po6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Skin
