source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	characteristics[phenotype]	characteristics[genotype]	characteristics[strain or breed]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
PXD064057-Sample-11	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-4	tissue	2	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_11_Chchd10_KI_S55L_het_pellet_106_rwCZ	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_11_Chchd10_KI_S55L_het_pellet_106_rwCZ.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction
PXD064057-Sample-12	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-4	tissue	2	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 soluble mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_12_Chchd10_KI_S55L_het_supernatant_106_Znzf	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	2	1	20240827_DECTXuxSGj_DoDi_12_Chchd10_KI_S55L_het_supernatant_106_Znzf.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 soluble mitochondrial fraction
PXD064057-Sample-13	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-5	tissue	3	wild-type littermate; total mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_13_Chchd10_KI_S55L_wt_total_108_HkCL_20240907015040	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_13_Chchd10_KI_S55L_wt_total_108_HkCL_20240907015040.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; total mitochondrial fraction
PXD064057-Sample-14	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-5	tissue	3	wild-type littermate; Triton X-100 insoluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_14_Chchd10_KI_S55L_wt_pellet_108_Defa	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_14_Chchd10_KI_S55L_wt_pellet_108_Defa.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 insoluble mitochondrial fraction
PXD064057-Sample-15	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-5	tissue	3	wild-type littermate; Triton X-100 soluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_15_Chchd10_KI_S55L_wt_supernatant_108_Jwae	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	2	1	20240827_DECTXuxSGj_DoDi_15_Chchd10_KI_S55L_wt_supernatant_108_Jwae.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 soluble mitochondrial fraction
PXD064057-Sample-16	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-6	tissue	3	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_16_Chchd10_KI_S55L_het_total_97_6gaX_20240906171417	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_16_Chchd10_KI_S55L_het_total_97_6gaX_20240906171417.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction
PXD064057-Sample-17	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-6	tissue	3	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_17_Chchd10_KI_S55L_het_pellet_97_IXpK	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_17_Chchd10_KI_S55L_het_pellet_97_IXpK.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction
PXD064057-Sample-18	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-6	tissue	3	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 soluble mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_18_Chchd10_KI_S55L_het_supernatant_97_Lwhr_20240907060904	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	2	1	20240827_DECTXuxSGj_DoDi_18_Chchd10_KI_S55L_het_supernatant_97_Lwhr_20240907060904.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 soluble mitochondrial fraction
PXD064057-Sample-19	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-7	tissue	4	wild-type littermate; total mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_19_Chchd10_KI_S55L_wt_total_7_VhFw	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_19_Chchd10_KI_S55L_wt_total_7_VhFw.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; total mitochondrial fraction
PXD064057-Sample-20	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-7	tissue	4	wild-type littermate; Triton X-100 insoluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_20_Chchd10_KI_S55L_wt_pellet_7_9Gtt_20240907081821	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_20_Chchd10_KI_S55L_wt_pellet_7_9Gtt_20240907081821.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 insoluble mitochondrial fraction
PXD064057-Sample-21	Mus musculus	heart	not available	normal	adult	not available	not available	not available	PXD064057-Individual-7	tissue	4	wild-type littermate; Triton X-100 soluble mitochondrial fraction	Chchd10 +/+	not available	20240827_DECTXuxSGj_DoDi_21_Chchd10_KI_S55L_wt_supernatant_7_ntbz	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	2	1	20240827_DECTXuxSGj_DoDi_21_Chchd10_KI_S55L_wt_supernatant_7_ntbz.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	wild-type littermate; Triton X-100 soluble mitochondrial fraction
PXD064057-Sample-22	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-8	tissue	4	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_22_Chchd10_KI_S55L_het_total_104_3qMd	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	1	1	20240827_DECTXuxSGj_DoDi_22_Chchd10_KI_S55L_het_total_104_3qMd.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); total mitochondrial fraction
PXD064057-Sample-23	Mus musculus	heart	not available	cardiomyopathy	adult	not available	not available	not available	PXD064057-Individual-8	tissue	4	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction	Chchd10 S55L/+	not available	20240827_DECTXuxSGj_DoDi_23_Chchd10_KI_S55L_het_pellet_104_vMmM	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	3	1	20240827_DECTXuxSGj_DoDi_23_Chchd10_KI_S55L_het_pellet_104_vMmM.raw	v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	heterozygous Chchd10 S55L knock-in (mitochondrial cardiomyopathy model); Triton X-100 insoluble mitochondrial fraction
