source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[colonization]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[alkylation reagent]	comment[reduction reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[colonization]	factor value[organism part]
BT-mouse3-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	3	ath017921	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017921.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	caecum
BT-mouse3-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	3	ath017923	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017923.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	jejunum
GF-mouse1-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	1	ath017930	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017930.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	ileum
GF-mouse2-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	2	ath017934	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017934.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	caecum
GF-mouse1-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	1	ath017958	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath017958.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	jejunum
BT-mouse1-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	1	ath018071	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018071.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	ileum
GF-mouse3-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	3	ath018078	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018078.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	right colon
GF-mouse3-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	3	ath018079	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018079.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	caecum
BT-mouse1-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	1	ath018080	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018080.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	caecum
BT-mouse1-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	1	ath018083	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018083.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	stomach
BT-mouse2-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	2	ath018097	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018097.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	stomach
GF-mouse3-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	3	ath018103	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018103.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	jejunum
BT-mouse1-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	1	ath018104	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018104.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	right colon
BT-mouse1-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	1	ath018117	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018117.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	jejunum
GF-mouse3-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	3	ath018118	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018118.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	ileum
BT-mouse2-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	2	ath018121	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018121.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	ileum
BT-mouse2-proximal-colon	Mus musculus	right colon	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	2	ath018123	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018123.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	right colon
BT-mouse2-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	2	ath018124	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018124.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	jejunum
BT-mouse2-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	Bacteroides thetaiotaomicron monocolonized	2	ath018125	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018125.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Bacteroides thetaiotaomicron monocolonized	caecum
GF-mouse3-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	germ-free	3	ath018128	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018128.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	germ-free	stomach
CR-mouse3-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	3	ath018160	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018160.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	jejunum
CR-mouse2-stomach	Mus musculus	stomach	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	2	ath018161	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018161.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	stomach
CR-mouse3-ileum	Mus musculus	ileum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	3	ath018162	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018162.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	ileum
CR-mouse1-jejunum	Mus musculus	jejunum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	1	ath018163	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018163.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	jejunum
CR-mouse3-cecum	Mus musculus	caecum	not available	not applicable	organism part	not available	not available	Swiss Webster	conventionally raised	3	ath018164	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=collision-induced dissociation;AC=MS:1000133	NT=ion trap;AC=MS:1000264	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not available	not available	not available	1	1	ath018164.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	conventionally raised	caecum
