source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[diet]	factor value[intestinal region]	factor value[time on Western-style diet]
PXD028613 experiment 11: Si5 CD.6	Mus musculus	jejunum	not available	11	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_11	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 12: Si5 CD.7	Mus musculus	jejunum	not available	12	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_12	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 13: Si5 CD.8	Mus musculus	jejunum	not available	13	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_13	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI5 (jejunum)	0
PXD028613 experiment 14: Si5 WSD 1 day.1	Mus musculus	jejunum	not available	14	not pooled	not available	organism part	1 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_14	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	1
PXD028613 experiment 15: Si5 WSD 1 day.2	Mus musculus	jejunum	not available	15	not pooled	not available	organism part	1 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_15	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	1
PXD028613 experiment 16: Si5 WSD 1 day.3	Mus musculus	jejunum	not available	16	not pooled	not available	organism part	1 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_16	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	1
PXD028613 experiment 17: Si5 WSD 3 days.1	Mus musculus	jejunum	not available	17	not pooled	not available	organism part	3 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_17	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	3
PXD028613 experiment 18: Si5 WSD 3 days.2	Mus musculus	jejunum	not available	18	not pooled	not available	organism part	3 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_18	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	3
PXD028613 experiment 19: Si5 WSD 3 days.3	Mus musculus	jejunum	not available	19	not pooled	not available	organism part	3 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_19	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	3
PXD028613 experiment 20: Si5 7 days.1	Mus musculus	jejunum	not available	20	not pooled	not available	organism part	7 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_20	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	7
PXD028613 experiment 21: Si5 7 days.2	Mus musculus	jejunum	not available	21	not pooled	not available	organism part	7 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_21	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	7
PXD028613 experiment 22: Si5 7 days.3	Mus musculus	jejunum	not available	22	not pooled	not available	organism part	7 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_22	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	7
PXD028613 experiment 24: Si5 14 days.1	Mus musculus	jejunum	not available	24	not pooled	not available	organism part	14 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_24	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	14
PXD028613 experiment 25: Si5 14 days.2	Mus musculus	jejunum	not available	25	not pooled	not available	organism part	14 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_25	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	14
PXD028613 experiment 26: Si5 28 days.1	Mus musculus	jejunum	not available	26	not pooled	not available	organism part	28 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_26	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	28
PXD028613 experiment 27: Si5 28 days.2	Mus musculus	jejunum	not available	27	not pooled	not available	organism part	28 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_27	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	28
PXD028613 experiment 28: Si5 28 days.3	Mus musculus	jejunum	not available	28	not pooled	not available	organism part	28 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_28	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI5 (jejunum)	28
PXD028613 experiment 29: Si8 CD.1	Mus musculus	ileum	not available	29	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_29	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 30: Si8 CD.2	Mus musculus	ileum	not available	30	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_30	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 31: Si8 CD.3	Mus musculus	ileum	not available	31	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_31	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 32: Si8 CD.4	Mus musculus	ileum	not available	32	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_32	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 33: Si8 CD.5	Mus musculus	ileum	not available	33	not pooled	not available	organism part	0 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_33	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	control diet	SI8 (ileum)	0
PXD028613 experiment 34: Si8 WSD 56 days	Mus musculus	ileum	not available	34	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_34	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	56
PXD028613 experiment 35: Si8 WSD 56 days	Mus musculus	ileum	not available	35	not pooled	not available	organism part	56 day	adult	C57BL/6	not available	180921_QExHF_LA_MS658_35	proteomic profiling by mass spectrometry	1	180921_QExHF_LA_MS658_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	4.5 ppm	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	Western-style diet	SI8 (ileum)	56
