source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[genotype]	characteristics[growth condition]	characteristics[growth phase]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[genotype]
Lmono_LO28_14_2_S2_rep2	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 derivative (deposit label 14_2_S2)	BHI broth, 30 C	late-exponential phase	not pooled	2	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-17T17:50:07	1	1	TA38_14_2_S2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 derivative (deposit label 14_2_S2)
Lmono_LO28_14_2_S2_rep3	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 14 derivative (deposit label 14_2_S2)	BHI broth, 30 C	late-exponential phase	not pooled	3	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-17T20:40:54	1	1	TA39_14_2_S2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 14 derivative (deposit label 14_2_S2)
Lmono_LO28_V15_AN_rep1	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	rpsU RpsU17Arg-Pro (variant 15)	BHI broth, 30 C	late-exponential phase	not pooled	1	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T18:09:05	1	1	TA46__V15_AN_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rpsU RpsU17Arg-Pro (variant 15)
Lmono_LO28_V15_AN_rep2	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	rpsU RpsU17Arg-Pro (variant 15)	BHI broth, 30 C	late-exponential phase	not pooled	2	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T21:00:08	1	1	TA47__V15_AN_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rpsU RpsU17Arg-Pro (variant 15)
Lmono_LO28_V15_AN_rep3	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	rpsU RpsU17Arg-Pro (variant 15)	BHI broth, 30 C	late-exponential phase	not pooled	3	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T23:50:55	1	1	TA48__V15_AN_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	rpsU RpsU17Arg-Pro (variant 15)
Lmono_LO28_V15_1_rep1	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 15 evolved line 15EV1 (RpsU17Pro-His)	BHI broth, 30 C	late-exponential phase	not pooled	1	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T09:15:06	1	1	TA43_V15_1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 15 evolved line 15EV1 (RpsU17Pro-His)
Lmono_LO28_V15_1_rep2	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 15 evolved line 15EV1 (RpsU17Pro-His)	BHI broth, 30 C	late-exponential phase	not pooled	2	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T12:27:16	1	1	TA44_V15_1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 15 evolved line 15EV1 (RpsU17Pro-His)
Lmono_LO28_V15_1_rep3	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 15 evolved line 15EV1 (RpsU17Pro-His)	BHI broth, 30 C	late-exponential phase	not pooled	3	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T15:18:05	1	1	TA45_V15_1_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 15 evolved line 15EV1 (RpsU17Pro-His)
Lmono_LO28_V15_2_rep1	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 15 evolved line 15EV2 (RpsU17Pro-Thr)	BHI broth, 30 C	late-exponential phase	not pooled	1	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-17T23:32:01	1	1	TA40_V15_2_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 15 evolved line 15EV2 (RpsU17Pro-Thr)
Lmono_LO28_V15_2_rep2	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 15 evolved line 15EV2 (RpsU17Pro-Thr)	BHI broth, 30 C	late-exponential phase	not pooled	2	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T02:23:07	1	1	TA41_V15_2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 15 evolved line 15EV2 (RpsU17Pro-Thr)
Lmono_LO28_V15_2_rep3	Listeria monocytogenes	not applicable	not applicable	not applicable	whole organism	LO28	variant 15 evolved line 15EV2 (RpsU17Pro-Thr)	BHI broth, 30 C	late-exponential phase	not pooled	3	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	0.5 Da	NT=collision-induced dissociation;AC=MS:1000133	30% NCE	NT=ion trap;AC=MS:1000264	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Acrylamide (AA);AC=PRIDE:0000603	2019-04-18T05:14:12	1	1	TA42_V15_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	variant 15 evolved line 15EV2 (RpsU17Pro-Thr)
