source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[strain/genotype]	characteristics[expression construct]	characteristics[time]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]
DM22	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	non-expression strain	70 min	9247_MOL0083_S015_DM22_Neg_LD10_T70_B_1_Slot1-24	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9247_MOL0083_S015_DM22_Neg_LD10_T70_B_1_Slot1-24.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM23	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	non-expression strain	70 min	9285_MOL0084_S047_DM23_Neg_LD10_T70_C_1_Slot2-38	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9285_MOL0084_S047_DM23_Neg_LD10_T70_C_1_Slot2-38.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM24	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	non-expression strain	70 min	9289_MOL0084_S051_DM24_Neg_LD10_T70_D_1_Slot2-42	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9289_MOL0084_S051_DM24_Neg_LD10_T70_D_1_Slot2-42.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM25	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	LP expression strain	0 min	9248_MOL0083_S016_DM25_LP_LD10_T0_A_1_Slot1-25	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9248_MOL0083_S016_DM25_LP_LD10_T0_A_1_Slot1-25.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM26	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	LP expression strain	0 min	9279_MOL0084_S042_DM26_LP_LD10_T0_B_1_Slot1-51	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9279_MOL0084_S042_DM26_LP_LD10_T0_B_1_Slot1-51.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM27	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	LP expression strain	0 min	9287_MOL0084_S049_DM27_LP_LD10_T0_C_1_Slot2-40	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9287_MOL0084_S049_DM27_LP_LD10_T0_C_1_Slot2-40.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM28	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	4	J1074_LD10	LP expression strain	0 min	9264_MOL0094_S029_DM28_LP_LD10_T0_D_1_Slot1-38	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9264_MOL0094_S029_DM28_LP_LD10_T0_D_1_Slot1-38.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM29	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	1	J1074_LD10	LP expression strain	20 min	9268_MOL0102_S033_DM29_LP_LD10_T20_A_1_Slot1-42	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9268_MOL0102_S033_DM29_LP_LD10_T20_A_1_Slot1-42.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM30	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	2	J1074_LD10	LP expression strain	20 min	9255_MOL0083_S021_DM30_LP_LD10_T20_B_1_Slot1-30	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9255_MOL0083_S021_DM30_LP_LD10_T20_B_1_Slot1-30.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
DM31	Streptomyces albidoflavus	whole cell lysate	not applicable	not applicable	3	J1074_LD10	LP expression strain	20 min	9240_MOL0083_S009_DM31_LP_LD10_T20_C_1_Slot1-18	proteomic profiling by mass spectrometry	Data-independent acquisition	Bruker timsTOF	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	9240_MOL0083_S009_DM31_LP_LD10_T20_C_1_Slot1-18.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
