source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[pooled sample]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]
HCl_66	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0550	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0550	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
EM_57	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0555	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0555	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
EM_58	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0556	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0556	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
EM_65	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0557	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0557	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
EM_66	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0558	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0558	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
PF_57	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0562	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0562	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
PF_58	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0563	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0563	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
PF_65	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0564	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0564	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
PF_66	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0565	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0565	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
AEN_57	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0551	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0551	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
AEN_58	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0552	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0552	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
AEN_65	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0553	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0553	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
AEN_66	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0554	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0554	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Blank	Bos taurus	humerus	not applicable	not applicable	not available	1	not pooled	P0566	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0566	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
Evotip_mix	Bos taurus	humerus	not applicable	not applicable	not available	1	SN=MB_57,MB_58,MB_66,ABC_57,ABC_58,ABC_65,ABC_66,HCl_57,HCl_58,HCl_65,HCl_66,EM_57,EM_58,EM_65,EM_66,PF_57,PF_58,PF_65,PF_66,AEN_57,AEN_58,AEN_65,AEN_66,Blank	P0567	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	1	1	20230709_GT_EXPL5_EVO1_15K_30SPD_SAMPLE_P0567	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0
