source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[developmental stage]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[sampling time]
sample-8	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	10 day	not available	not available	210225_QExHF_SJ_MS746_8	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 day
sample-8	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	10 day	not available	not available	210225_QExHF_SJ_MS746_8_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_8_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	10 day
sample-9	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	25 day	not available	not available	210225_QExHF_SJ_MS746_9	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	25 day
sample-9	Mus musculus	small intestine	enterocyte	1	not pooled	normal	cell	25 day	not available	not available	210225_QExHF_SJ_MS746_9_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_9_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	25 day
sample-10	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	5 day	not available	not available	210225_QExHF_SJ_MS746_10	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	5 day
sample-10	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	5 day	not available	not available	210225_QExHF_SJ_MS746_10_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_10_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	5 day
sample-11	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	25 day	not available	not available	210225_QExHF_SJ_MS746_11	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	25 day
sample-11	Mus musculus	small intestine	enterocyte	2	not pooled	normal	cell	25 day	not available	not available	210225_QExHF_SJ_MS746_11_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_11_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	25 day
sample-12	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	25 day	not available	not available	210225_QExHF_SJ_MS746_12	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	25 day
sample-12	Mus musculus	small intestine	enterocyte	3	not pooled	normal	cell	25 day	not available	not available	210225_QExHF_SJ_MS746_12_2	proteomic profiling by mass spectrometry	1	210225_QExHF_SJ_MS746_12_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	2	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	25 day
sample-d1_1	Mus musculus	small intestine	enterocyte	4	pooled	normal	cell	1 day	not available	not available	210519_QExHF_SJ_MS746_1_10X_dil	proteomic profiling by mass spectrometry	1	210519_QExHF_SJ_MS746_1_10X_dil.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-d1_2	Mus musculus	small intestine	enterocyte	5	pooled	normal	cell	1 day	not available	not available	210519_QExHF_SJ_MS746_2_10X_dil	proteomic profiling by mass spectrometry	1	210519_QExHF_SJ_MS746_2_10X_dil.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
sample-d1_3	Mus musculus	small intestine	enterocyte	6	pooled	normal	cell	1 day	not available	not available	210519_QExHF_SJ_MS746_3_10X_dil	proteomic profiling by mass spectrometry	1	210519_QExHF_SJ_MS746_3_10X_dil.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	label free sample	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	1 day
