source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[material type]	characteristics[infect]	characteristics[time]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[infect]	factor value[time]
Efk3B-hACE2_48h_r3	NT=Eptesicus fuscus;AC=NCBITaxon:29078	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour	3	run EIFK3_48h3_B9_1_220	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_48h3_B9_1_220.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_48h3_B9_1_220.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour
Efk3B-hACE2_48h_r4	NT=Eptesicus fuscus;AC=NCBITaxon:29078	NT=kidney;AC=UBERON:0002113	NT=epithelial cell;AC=CL:0000066	normal	Efk3B	CVCL_GZ34	Efk3B	not available	not available	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour	4	run EIFK3_48h4_B12_1_235	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	EIFK3_48h4_B12_1_235.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/EIFK3_48h4_B12_1_235.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	normal	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour
Calu-3_mock_r1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	not applicable	0 hour	1	run Calu3_24h_Mock1_C1_1_270	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_Mock1_C1_1_270.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_Mock1_C1_1_270.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	not applicable	0 hour
Calu-3_mock_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	not applicable	0 hour	2	run Calu3_24h_Mock2_C4_1_281	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_Mock2_C4_1_281.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_Mock2_C4_1_281.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	not applicable	0 hour
Calu-3_mock_r3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	not applicable	0 hour	3	run Calu3_24h_Mock3_C7_1_293	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_Mock3_C7_1_293.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_Mock3_C7_1_293.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	not applicable	0 hour
Calu-3_mock_r4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	not applicable	0 hour	4	run Calu3_24h_Mock4_C10_1_305	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_Mock4_C10_1_305.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_Mock4_C10_1_305.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	not applicable	0 hour
Calu-3_24h_r1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour	1	run Calu3_24h_1_C2_1_273	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_1_C2_1_273.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_1_C2_1_273.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour
Calu-3_24h_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour	2	run Calu3_24h_2_C5_1_285	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_2_C5_1_285.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_2_C5_1_285.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour
Calu-3_24h_r3	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour	3	run Calu3_24h_3_C8_1_297	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_3_C8_1_297.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_3_C8_1_297.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour
Calu-3_24h_r4	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour	4	run Calu3_24h_4_C11_1_309	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_24h_4_C11_1_309.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_24h_4_C11_1_309.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=SARS-CoV-2;AC=NCBITaxon:2697049	24 hour
Calu-3_48h_r1	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour	1	run Calu3_48h_1_C3_1_277	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_48h_1_C3_1_277.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_48h_1_C3_1_277.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour
Calu-3_48h_r2	NT=Homo sapiens;AC=NCBITaxon:9606	NT=lung;AC=UBERON:0002048	NT=epithelial cell;AC=CL:0000066	NT=lung adenocarcinoma;AC=MONDO:0005061	Calu-3	CVCL_0609	Calu-3	NT=adult;AC=EFO:0001272	25Y	male	cell	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour	2	run Calu3_48h_2_C6_1_289	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not available	not available	not available	1	1	Calu3_48h_2_C6_1_289.d.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/06/PXD058807/Calu3_48h_2_C6_1_289.d.zip	v1.1.0	manual curation	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=lung adenocarcinoma;AC=MONDO:0005061	NT=SARS-CoV-2;AC=NCBITaxon:2697049	48 hour
