source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms min mz]	comment[ms max mz]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	factor value[treatment]
sample 11	Homo sapiens	umbilical cord blood	erythroid progenitor cell	11	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_11	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 12	Homo sapiens	umbilical cord blood	erythroid progenitor cell	12	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_12	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 13	Homo sapiens	umbilical cord blood	erythroid progenitor cell	13	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_13	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 14	Homo sapiens	umbilical cord blood	erythroid progenitor cell	14	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_14	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 15	Homo sapiens	umbilical cord blood	erythroid progenitor cell	15	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_15	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 16	Homo sapiens	umbilical cord blood	erythroid progenitor cell	16	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_16	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 17	Homo sapiens	umbilical cord blood	erythroid progenitor cell	17	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_17	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 18	Homo sapiens	umbilical cord blood	erythroid progenitor cell	18	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_18	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 19	Homo sapiens	umbilical cord blood	erythroid progenitor cell	19	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_19	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 20	Homo sapiens	umbilical cord blood	erythroid progenitor cell	20	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_20	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 21	Homo sapiens	umbilical cord blood	erythroid progenitor cell	21	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_21	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 22	Homo sapiens	umbilical cord blood	erythroid progenitor cell	22	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_22	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 23	Homo sapiens	umbilical cord blood	erythroid progenitor cell	23	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_23	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 24	Homo sapiens	umbilical cord blood	erythroid progenitor cell	24	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_24	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 25	Homo sapiens	umbilical cord blood	erythroid progenitor cell	25	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_25	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 26	Homo sapiens	umbilical cord blood	erythroid progenitor cell	26	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_26	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 27	Homo sapiens	umbilical cord blood	erythroid progenitor cell	27	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_27	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 28	Homo sapiens	umbilical cord blood	erythroid progenitor cell	28	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_28	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
sample 29	Homo sapiens	umbilical cord blood	erythroid progenitor cell	29	study sample	normal	cell line	not available	Japanese	<1D	male	neonate	not applicable	HUDEP-2	CVCL_VI06	HUDEP-2	umbilical cord blood	not available	not available	not available	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_29	proteomic profiling by mass spectrometry	1	20200831_EXPL1_OzKa_SA_Stuti_HUDEP_proteome_noF_LC02_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not applicable	25.5 NCE;27 NCE;30 NCE	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z	1650m/z	300	1649.5	not available	not available	not available
