source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
JG-TiO2-N2-7	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	7	JG-TiO2-N2-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-N2-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-N2-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-6A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-C1-6A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-6A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-6A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-N8-A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-TiO2-N8-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-N8-A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-N8-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N1-2-A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N1-2-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-2-A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-2-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N1-8	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	8	JG-N1-8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N1-9	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	9	JG-N1-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C2-7	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	7	JG-C2-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C2-7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C2-7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-C1-4A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-TiO2-C1-4A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-C1-4A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-C1-4A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-N1	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-TiO2-N1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-N1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-N1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C3-9	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	9	JG-C3-9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C3-9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C3-9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C1-15	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	15	JG-C1-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C1-15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C1-15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-C3-TiO2-5	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	5	JG-C3-TiO2-5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-C3-TiO2-5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-C3-TiO2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-N1-10-A	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-N1-10-A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-N1-10-A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-N1-10-A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
JG-TiO2-C1-1	Mus musculus	Spleen	not applicable	not available	phosphopeptide enrichment (TiO2)	1	JG-TiO2-C1-1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	35% NCE	hydrophilic interaction liquid chromatography	dithiothreitol	iodoacetamide	1	1	JG-TiO2-C1-1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001076/JG-TiO2-C1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Spleen
