source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
bovine_epididymis_swath_rep1	Bos taurus	epididymis	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_epididymis_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP883_Epididymitis_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epididymis;AC=UBERON:0001301
bovine_epididymis_swath_rep2	Bos taurus	epididymis	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_epididymis_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP884_Epididymitis_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epididymis;AC=UBERON:0001301
bovine_epididymis_swath_rep3	Bos taurus	epididymis	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_epididymis_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP885_Epididymitis_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epididymis;AC=UBERON:0001301
bovine_epididymis_swath_rep4	Bos taurus	epididymis	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_epididymis_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191208_SWATH_SP886_Epididymitis_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=epididymis;AC=UBERON:0001301
bovine_eye_swath_rep1	Bos taurus	eye	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_eye_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP855_Eye_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=eye;AC=UBERON:0000970
bovine_eye_swath_rep2	Bos taurus	eye	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_eye_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP856_Eye_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=eye;AC=UBERON:0000970
bovine_eye_swath_rep3	Bos taurus	eye	not applicable	normal	not available	not available	not available	not available	tissue	3	bovine_eye_swath_rep3_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP857_Eye_R3.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=eye;AC=UBERON:0000970
bovine_eye_swath_rep4	Bos taurus	eye	not applicable	normal	not available	not available	not available	not available	tissue	4	bovine_eye_swath_rep4_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191206_SWATH_SP858_Eye_R4.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=eye;AC=UBERON:0000970
bovine_heart_swath_rep1	Bos taurus	heart	not applicable	normal	not available	not available	not available	not available	tissue	1	bovine_heart_swath_rep1_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP831_Heart_R1.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=heart;AC=UBERON:0000948
bovine_heart_swath_rep2	Bos taurus	heart	not applicable	normal	not available	not available	not available	not available	tissue	2	bovine_heart_swath_rep2_run1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=TripleTOF 6600;AC=MS:1002533	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	350	1500	not available	NT=SWATH MS;AC=PRIDE:0000447	not available	not available	1	1	20191203_SWATH_SP832_Heart_R2.wiff	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=heart;AC=UBERON:0000948
