source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[fractionation method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cleavage agent details]
Sample 6	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Lys-C;AC=MS:1001309	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AGL_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Lys-C;AC=MS:1001309
Sample 6	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Lys-C;AC=MS:1001309	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_AGL_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Lys-C;AC=MS:1001309
Sample 7	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Trypsin;AC=MS:1001251	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_AGT_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Trypsin;AC=MS:1001251
Sample 7	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Glu-C;AC=MS:1001917	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_AGT_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Glu-C;AC=MS:1001917|NT=Trypsin;AC=MS:1001251
Sample 8	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Lys-C;AC=MS:1001309	NT=Chymotrypsin;AC=MS:1001306	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ALC_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Lys-C;AC=MS:1001309|NT=Chymotrypsin;AC=MS:1001306
Sample 8	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Lys-C;AC=MS:1001309	NT=Chymotrypsin;AC=MS:1001306	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_ALC_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Lys-C;AC=MS:1001309|NT=Chymotrypsin;AC=MS:1001306
Sample 9	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Lys-C;AC=MS:1001309	NT=Elastase;AC=MS:1001307	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ALE_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Lys-C;AC=MS:1001309|NT=Elastase;AC=MS:1001307
Sample 9	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Lys-C;AC=MS:1001309	NT=Elastase;AC=MS:1001307	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_ALE_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Lys-C;AC=MS:1001309|NT=Elastase;AC=MS:1001307
Sample 10	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ALT_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Lys-C;AC=MS:1001309|NT=Trypsin;AC=MS:1001251
Sample 10	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	2	HeLa_ALT_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Lys-C;AC=MS:1001309|NT=Trypsin;AC=MS:1001251
Sample 11	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Asp-N;AC=MS:1001303	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ArgC-AspN_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Asp-N;AC=MS:1001303
Sample 11	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Asp-N;AC=MS:1001303	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_ArgC-AspN_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Asp-N;AC=MS:1001303
Sample 11	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Asp-N;AC=MS:1001303	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	3	HeLa_ArgC-AspN_CID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Asp-N;AC=MS:1001303
Sample 11	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Asp-N;AC=MS:1001303	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	4	HeLa_ArgC-AspN_HCD_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Asp-N;AC=MS:1001303
Sample 11	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Asp-N;AC=MS:1001303	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	5	HeLa_ArgC-AspN_HCD_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Asp-N;AC=MS:1001303
Sample 11	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001911;NT=Q Exactive	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Asp-N;AC=MS:1001303	not applicable	AC=MS:1000422;NT=HCD	20 ppm	0.1 Da	1	6	HeLa_ArgC-AspN_HCD_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Asp-N;AC=MS:1001303
Sample 12	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Chymotrypsin;AC=MS:1001306	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	1	HeLa_ArgC-Chytry_CID_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Chymotrypsin;AC=MS:1001306
Sample 12	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Chymotrypsin;AC=MS:1001306	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	2	HeLa_ArgC-Chytry_CID_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Chymotrypsin;AC=MS:1001306
Sample 12	Homo sapiens	cervix	adenocarcinoma	epithelial cell	HeLa	CVCL_0030	HeLa	female	31Y	1	cell	run 29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	not applicable	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1002038;NT=label free sample	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=variable	NT=Arg-C;AC=MS:1001308	NT=Chymotrypsin;AC=MS:1001306	not applicable	AC=MS:1000798;NT=CID	20 ppm	0.5 Da	1	3	HeLa_ArgC-Chytry_CID_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=Arg-C;AC=MS:1001308|NT=Chymotrypsin;AC=MS:1001306
