source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20160323_Andrew_AWMC_IDA_P1	20160323_Andrew_AWMC_IDA_P1	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_P1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_P1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_IDA_P3	20160323_Andrew_AWMC_IDA_P3	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_IDA_P3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_IDA_P3.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_0-1A	20160323_Andrew_AWMC_SWATH_0-1A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_0-1A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_0-1A.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_0-1B	20160323_Andrew_AWMC_SWATH_0-1B	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_0-1B	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_0-1B.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_0-1C	20160323_Andrew_AWMC_SWATH_0-1C	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_0-1C	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_0-1C.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_0-3A	20160323_Andrew_AWMC_SWATH_0-3A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_0-3A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_0-3A.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_0-3B	20160323_Andrew_AWMC_SWATH_0-3B	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_0-3B	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_0-3B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_0-3C	20160323_Andrew_AWMC_SWATH_0-3C	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_0-3C	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_0-3C.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_12-1A	20160323_Andrew_AWMC_SWATH_12-1A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_12-1A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_12-1A.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_12-1B	20160323_Andrew_AWMC_SWATH_12-1B	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_12-1B	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_12-1B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_12-1C	20160323_Andrew_AWMC_SWATH_12-1C	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_12-1C	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_12-1C.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_12-3A	20160323_Andrew_AWMC_SWATH_12-3A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_12-3A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_12-3A.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_12-3B	20160323_Andrew_AWMC_SWATH_12-3B	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_12-3B	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_12-3B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_12-3C	20160323_Andrew_AWMC_SWATH_12-3C	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_12-3C	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_12-3C.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_2-1A	20160323_Andrew_AWMC_SWATH_2-1A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_2-1A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_2-1A.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_2-1B	20160323_Andrew_AWMC_SWATH_2-1B	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_2-1B	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_2-1B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_2-1C	20160323_Andrew_AWMC_SWATH_2-1C	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_2-1C	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_2-1C.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_2-3A	20160323_Andrew_AWMC_SWATH_2-3A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_2-3A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_2-3A.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_2-3B	20160323_Andrew_AWMC_SWATH_2-3B	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_2-3B	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_2-3B.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_2-3C	20160323_Andrew_AWMC_SWATH_2-3C	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_2-3C	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_2-3C.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_20-1A	20160323_Andrew_AWMC_SWATH_20-1A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_20-1A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_20-1A.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_20-1B	20160323_Andrew_AWMC_SWATH_20-1B	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_20-1B	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_20-1B.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_20-1C	20160323_Andrew_AWMC_SWATH_20-1C	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_20-1C	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_20-1C.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
20160323_Andrew_AWMC_SWATH_20-3A	20160323_Andrew_AWMC_SWATH_20-3A	Uncultured nitrosomonas sp. b7	activated sludge	not applicable	not available	Mechanism_of_persistence_of_the_ammonia_oxidising_bacteria_-_Nitrosomonas_to_the_the_biocide_Free_Nitrous_Acid_FNA	activated sludge	activated sludge	not available	not available	not available	not available	activated sludge microbiome	1	20160323_Andrew_AWMC_SWATH_20-3A	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600;AC=MS:1000932	NT=Trypsin;AC=MS:1001251	not available	1	1	20160323_Andrew_AWMC_SWATH_20-3A.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	activated sludge
