source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[time]
mock 4h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	6	cell	run 6-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_6_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_6_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	4h
mock 4h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	6	cell	run 6-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_6_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_6_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	4h
HIV-1 4h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	7	cell	run 7-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_7_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_7_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	4h
HIV-1 4h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	7	cell	run 7-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_7_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_7_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	4h
HIV-1 4h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	8	cell	run 8-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_8_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_8_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	4h
HIV-1 4h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	8	cell	run 8-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_8_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_8_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	4h
mock 12h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	9	cell	run 9-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_9_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_9_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	12h
mock 12h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	9	cell	run 9-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_9_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_9_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	12h
mock 12h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	10	cell	run 10-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_10_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_10_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	12h
mock 12h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	normal	10	cell	run 10-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_10_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_10_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	mock	12h
HIV-1 12h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	11	cell	run 11-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_11_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_11_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	12h
HIV-1 12h 1	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	11	cell	run 11-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_11_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_11_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	12h
HIV-1 12h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	12	cell	run 12-1	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_12_a.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_12_a.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	12h
HIV-1 12h 2	Homo sapiens	not applicable	epithelial cell	HEK293T	CVCL_0063	not applicable	12	cell	run 12-2	proteomic profiling by mass spectrometry	NT=Data-Dependent Acquisition;AC=PRIDE:0000311	EC_212270_T33Vspike_12_b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD010436/EC_212270_T33Vspike_12_b.raw	2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.8 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	HIV-1	12h
