id	group	label	reason	organism_taxname	pmid	doi	n_raw_files	n_sdrf_rows	instrument	quantification	experiment_types	title
PXD017987	Candida	include	annotated in this batch	Candida albicans (yeast)	33151931	not available	12	12	Q Exactive Plus	not available	Affinity purification coupled with mass spectrometry proteomics	Validation of Nri1/Nri2 physical interaction with the Candida albicans RSC complex
PXD017988	Candida	include	annotated in this batch	Candida albicans (yeast)	33151931	not available	18	18	Q Exactive Plus	not available	Affinity purification coupled with mass spectrometry proteomics	Identification of interactors of Sth1 in Candida albicans
PXD017990	Candida	include	annotated in this batch	Candida albicans (yeast)	33151931	not available	48	48	Orbitrap Fusion	not available	Shotgun proteomics	Global proteome analysis of conditional sth1 mutant in Candida albicans
PXD018027	Candida	include	annotated in this batch	Candida albicans (yeast)	32636248	not available	12	12	Q Exactive	Spectral Abundance Factor - SAF	Shotgun proteomics	Epitope shaving and fungal immune evasion – cell wall proteomes
PXD018044	Candida	include	annotated in this batch	Candida albicans (yeast)	32636248	not available	30	30	Q Exactive	Spectral Abundance Factor - SAF	Shotgun proteomics	Epitope shaving and fungal immune evasion – culture supernatants
PXD018163	Candida	include	annotated in this batch	Candida albicans (yeast)	34289370	not available	48	24	TripleTOF 5600	not available	SWATH MS	Cell wall and secretome of Candida albicans WT, hir1delta/delta strain, and HIR1 complemented mutant
PXD018848	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	1	1	Q Exactive HF-X	not available	Shotgun proteomics	Systematic Analysis of the Lysine Crotonylome and multiple PTM analysis (acetylation, succinylation and crotonylation) in Candida albicans
PXD020195	Candida	include	annotated in this batch	Candida albicans (yeast)	34609160	not available	52	52	Q Exactive Plus	Spectrum counting	Shotgun proteomics	Creation of a Candida albicans spectral library by Data Dependent Acquisition (DDA)
PXD020283	Candida	include	annotated in this batch	Candida albicans (yeast)	34609160	not available	28	28	Q Exactive Plus	not available	SWATH MS	Evaluating the stress response in Candida albicans by data independent acquisition (DIA) proteomics
PXD021488	Candida	include	annotated in this batch	Candida albicans (yeast)	35604172	10.6019/PXD021488	18	18	Orbitrap Fusion Lumos	not available	Shotgun proteomics	Different protein cargo of extracellular vesicles from yeast or hyphal Candida albicans cells
PXD021504	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	10.6019/PXD021504	8	8	Orbitrap Fusion Lumos	not available	Shotgun proteomics	Different protein cargo of whole cell lysates from yeast or hyphal Candida albicans cells
PXD021578	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	34893830	10.6019/PXD021578	8	8	Q Exactive HF	not available	Shotgun proteomics	Proteome of candida glabrata after Caspofungin exposure
PXD022766	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	not available	not available	4	4	LTQ Orbitrap Velos	not available	Shotgun proteomics	Interactome identification of a glycosylphosphatidylinositol-linked aspartyl protease, CgYps1, in the pathogenic yeast Candida glabrata
PXD023013	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	1	1	Q Exactive Plus	not available	Shotgun proteomics	Proteome-wide analysis of Lysine 2-Hydroxyisobutyrylation in Candida albicans
PXD024608	Candida	include	annotated in this batch	Candida parapsilosis	35255079	10.6019/PXD024608	36	36	LTQ Orbitrap Elite	not available	Shotgun proteomics	Transcriptional landscape of Candida parapsilosis cells assimilating hydroxyaromatic substrates
PXD024934	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	10.6019/PXD024934	9	9	LTQ Orbitrap Elite	Spectrum counting	Shotgun proteomics	C. albicans mtEXO mutant mitochondria
PXD025693	Candida	include	annotated in this batch	Candida parapsilosis cdc317	35751649	not available	12	12	Q Exactive	Label free	Shotgun proteomics	Exposure of Candida parapsilosis to the silver(I) compound SBC3 induces alterations in the proteome inhibiting protein synthesis and reducing virulence
PXD026449	Candida	include	annotated in this batch	Candida albicans (yeast)	36224215	not available	36	36	Q Exactive HF	not available	Shotgun proteomics	Impaired amino acid uptake leads to global metabolic imbalance of Candida albicans biofilms
PXD026768	Candida	include	annotated in this batch	[candida] auris	34427507	not available	8	8	Q Exactive Plus	not available	Shotgun proteomics	Candida auris extracellular vesicle proteomics
PXD027612	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	54	54	Q Exactive HF	not available	Shotgun proteomics	The SR protein kinase Sky2 is involved in regulation of dipeptide transport in Candida albicans
PXD028596	Candida	include	annotated in this batch	Candida albicans (yeast)	34716343	10.6019/PXD028596	23	23	LTQ Orbitrap Elite	Spectrum counting	Shotgun proteomics	Coordination of fungal biofilm development by extracellular vesicle cargo
PXD029614	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	35051415	not available	4	4	LTQ Orbitrap Velos	not available	Shotgun proteomics	Total membrane proteome analysis of Candida glabrata wild-type and eleven CgYapsins-deficient strain Cgyps1-11∆.
PXD029629	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	35051415	not available	4	4	Q Exactive HF	not available	Shotgun proteomics	Label-free quantitative total membrane proteome analysis of Candida glabrata wild-type and eleven CgYapsins-deficient strain Cgyps1-11∆.
PXD032928	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	36297425	not available	36	18	TripleTOF 6600	not available	Shotgun proteomics	Characterization of pathogenic Candida glabrata and their effectiveness against systemic candidiasis in BALB/c mice
PXD033299	Candida	include	annotated in this batch	Candida parapsilosis cdc317	not available	not available	1	1	Q Exactive	not available	Shotgun proteomics	Candida non-albicans biofilm-derived EVs
PXD033300	Candida	include	annotated in this batch	Candida tropicalis mya-3404	not available	not available	1	1	Q Exactive	not available	Shotgun proteomics	Candida non-albicans biofilm-derived vesicles
PXD033327	Candida	include	annotated in this batch	[candida] glabrata cbs 138	not available	not available	1	1	Q Exactive	not available	Shotgun proteomics	Candida non-albicans biofilm-derived extracellular vesicles
PXD033522	Candida	include	annotated in this batch	Yarrowia lipolytica (candida lipolytica)	not available	not available	96	96	Q Exactive	not available	Shotgun proteomics	Complexome profiling of mitochondria to study NDUFAF1 mediated complex I assembly in Yarrowia lipolytica
PXD034169	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	6	6	Q Exactive HF	not available	Shotgun proteomics	Proteomic analysis of the mechanism of  recombinant actifensin and defensin-d2 against multidrug-resistant Pseudomonas aeruginosa and Candida albicans
PXD037150	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	1	1	Q Exactive HF	not available	Shotgun proteomics	Interplay between acetylation and ubiquitination of Isw1 confers multidrug resistance in Cryptococcus neoformans
PXD037397	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	3	3	Q Exactive HF	not available	Shotgun proteomics	Identification of acetylated proteins in Fusarium oxysporum
PXD037938	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	2	2	Orbitrap Fusion	not available	Shotgun proteomics	Phosphorylation states of the Neurospora crassa circadian clock protein Frequencey
PXD040804	Candida	include	annotated in this batch	Candida albicans (yeast)	38790632	10.6019/PXD040804	16	16	Q Exactive HF	Label free	Shotgun proteomics	Proteomic analysis for the study of Prn1 function, a protein similar to pirins. Identification and quantification of proteins whose expression changes in absence of Prn1 after hydr
PXD042058	Candida	include	annotated in this batch	Candida glabrata (yeast) (torulopsis glabrata)	37490387	not available	8	8	LTQ Orbitrap Velos Pro	not available	Shotgun proteomics	Phosphatidylinositol 3-phosphate (PI3P) interactome analysis under varied iron conditions in Candida glabrata.
PXD044271	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	2	2	Q Exactive HF	not available	Shotgun proteomics	Candida albicans biofilm-derived extracellular vesicles
PXD044702	Candida	include	annotated in this batch	Candida albicans (yeast)	not available	not available	87	87	Orbitrap Exploris 480	not available	SWATH MS	An adaptive biomolecular condensation response is conserved across environmentally divergent species
