source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[treatment]	characteristics[diet]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[treatment]	factor value[organism part]
HFD_ANGII_vehicle_494_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	494	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_494_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Vehicle_494_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	heart
HFD_ANGII_Pair_406_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II pair-fed	high-fat diet	406	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_406_HFD_ANGII_Pair_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_406_HFD_ANGII_Pair_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II pair-fed	blood plasma
Ctrl_SHAM_4100_plasma	Mus musculus	blood plasma	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	4100	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_4100_Ctrl_SHAM_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_4100_Ctrl_SHAM_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	blood plasma
Ctrl_SHAM_488_heart	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	488	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_488_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_488_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	heart
Ctrl_SHAM_496_heart	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	496	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_496_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_496_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	heart
Ctrl_SHAM_484_heart	Mus musculus	heart	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	484	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_484_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_CTRL_484_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	heart
HFD_ANGII_Sema_407_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	407	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_407_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_407_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	heart
HFD_ANGII_vehicle_494_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	angiotensin II	high-fat diet	494	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_494_HFD_ANGII_vehicle_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_494_HFD_ANGII_vehicle_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	angiotensin II	blood plasma
Ctrl_SHAM_496_plasma	Mus musculus	blood plasma	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	496	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_496_Ctrl_SHAM_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_496_Ctrl_SHAM_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	blood plasma
HFD_ANGII_Sema_434_heart	Mus musculus	heart	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	434	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_434_01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210724_QE3_LYTL_RDS3304_Pro_MouseHeart_60min_DIA_Sema_434_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	heart
Ctrl_SHAM_476_plasma	Mus musculus	blood plasma	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	sham surgery	chow	476	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_476_Ctrl_SHAM_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_476_Ctrl_SHAM_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	normal	sham surgery	blood plasma
HFD_ANGII_Sema_434_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	434	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_434_HFD_ANGII_Sema_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_434_HFD_ANGII_Sema_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	blood plasma
HFD_ANGII_Sema_407_plasma	Mus musculus	blood plasma	not applicable	tissue	diastolic heart failure	adult	not available	C57BL/6	wild type	semaglutide	high-fat diet	407	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_407_HFD_ANGII_Sema_Top2MDe	proteomic profiling by mass spectrometry	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	20210628_XP1_YABH_RDS3295_PlasmaProt_DIA_MouseHF_407_HFD_ANGII_Sema_Top2MDe.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	diastolic heart failure	semaglutide	blood plasma
