source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms min im]	comment[ms max im]	comment[ms1 scan range]	factor value[cell type]	factor value[treatment]
DBS05_beta_control1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_01_D1_1_4837	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_01_D1_1_4837.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_02_D1_1_4840	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_02_D1_1_4840.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_03_D1_1_4844	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_03_D1_1_4844.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_04_D1_1_4848	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_04_D1_1_4848.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_beta_control1	Mus musculus	islet of Langerhans	type B pancreatic cell	1	pooled	normal	cell	control	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_05_D1_1_4850	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_03_beta_control1_05_D1_1_4850.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	type B pancreatic cell	control
DBS05_delta_ifng1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_01_F1_1_4780	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_01_F1_1_4780.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	Interferon Gamma
DBS05_delta_ifng1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_02_F1_1_4783	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_02_F1_1_4783.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	Interferon Gamma
DBS05_delta_ifng1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_03_F1_1_4787	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_03_F1_1_4787.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	Interferon Gamma
DBS05_delta_ifng1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_04_F1_1_4791	proteomic profiling by mass spectrometry	4	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_04_F1_1_4791.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	Interferon Gamma
DBS05_delta_ifng1	Mus musculus	islet of Langerhans	pancreatic D cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_05_F1_1_4793	proteomic profiling by mass spectrometry	5	20210610_TIMS05_MCT_SA_DBS05_04_delta_ifng1_05_F1_1_4793.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic D cell	Interferon Gamma
DBS05_alpha_ifng1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_01_D1_1_4815	proteomic profiling by mass spectrometry	1	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_01_D1_1_4815.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	Interferon Gamma
DBS05_alpha_ifng1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_02_D1_1_4818	proteomic profiling by mass spectrometry	2	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_02_D1_1_4818.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	Interferon Gamma
DBS05_alpha_ifng1	Mus musculus	islet of Langerhans	pancreatic A cell	1	pooled	normal	cell	Interferon Gamma	not applicable	adult	C57BL/6JRj	male	12W	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_03_D1_1_4822	proteomic profiling by mass spectrometry	3	20210610_TIMS05_MCT_SA_DBS05_05_alpha_ifng1_03_D1_1_4822.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=diaPASEF;AC=PRIDE:0000650	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not applicable	not applicable	NT=time-of-flight;AC=MS:1000084	DBS05	0.6	1.6	99.75m/z-1700m/z	pancreatic A cell	Interferon Gamma
