source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
01023_F02_P009609_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_F02_P009609_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_F02_P009609_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_F02_P009609_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
OR6_20140601_SL_BR_B02	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	OR6_20140601_SL_BR_B02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	OR6_20140601_SL_BR_B02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/OR6_20140601_SL_BR_B02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00853_H08_P007158_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00853_H08_P007158_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00853_H08_P007158_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00853_H08_P007158_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_G03_P009618_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_G03_P009618_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_G03_P009618_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_G03_P009618_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00941_B07_P008278_S00_I00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00941_B07_P008278_S00_I00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00941_B07_P008278_S00_I00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00941_B07_P008278_S00_I00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00853_H06_P007142_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00853_H06_P007142_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00853_H06_P007142_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00853_H06_P007142_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00544_H04_P004038_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00544_H04_P004038_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00544_H04_P004038_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00544_H04_P004038_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00599_E01_P004590_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00599_E01_P004590_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00599_E01_P004590_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00599_E01_P004590_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_E03_P009616_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_E03_P009616_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_E03_P009616_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_E03_P009616_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00599_C01_P004588_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00599_C01_P004588_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00599_C01_P004588_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00599_C01_P004588_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00926_F04_P008096_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00926_F04_P008096_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00926_F04_P008096_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00926_F04_P008096_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00853_B09_P007160_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00853_B09_P007160_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00853_B09_P007160_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00853_B09_P007160_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00853_A06_P007135_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00853_A06_P007135_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00853_A06_P007135_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00853_A06_P007135_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00926_E04_P008095_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00926_E04_P008095_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00926_E04_P008095_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00926_E04_P008095_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00959_C02_P008446_S00_U03_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00959_C02_P008446_S00_U03_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00959_C02_P008446_S00_U03_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00959_C02_P008446_S00_U03_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00853_B06_P007136_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00853_B06_P007136_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00853_B06_P007136_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00853_B06_P007136_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_H03_P009619_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_H03_P009619_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_H03_P009619_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_H03_P009619_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00959_B02_P008446_S00_U02_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00959_B02_P008446_S00_U02_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00959_B02_P008446_S00_U02_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00959_B02_P008446_S00_U02_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00853_C08_P007153_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00853_C08_P007153_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00853_C08_P007153_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00853_C08_P007153_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
01023_D01_P009599_B00_A00_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	01023_D01_P009599_B00_A00_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	01023_D01_P009599_B00_A00_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/01023_D01_P009599_B00_A00_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
00926_A05_P008099_R1	homo sapiens	not available	not applicable	not available	enrichment of phosphorylated protein	1	00926_A05_P008099_R1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.05 Da	0.05 Da	1	1	00926_A05_P008099_R1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002635/00926_A05_P008099_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation
