source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[enrichment process]	characteristics[viral bait]	characteristics[fusion orientation]	characteristics[expression mode]	characteristics[stimulation]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[viral bait]	factor value[fusion orientation]	factor value[expression mode]	factor value[stimulation]
FB-M_stable_2904_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	M	N-terminal	stable	not treated	2	run FB-M_stable_2904_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-M_stable_2904_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	M	N-terminal	stable	not treated
FB-M_stable_2904_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	M	N-terminal	stable	not treated	3	run FB-M_stable_2904_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-M_stable_2904_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	M	N-terminal	stable	not treated
FB-M_stable_PIC_1306_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	M	N-terminal	stable	poly(I:C)	1	run FB-M_stable_PIC_1306_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-M_stable_PIC_1306_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	M	N-terminal	stable	poly(I:C)
FB-M_stable_PIC_1306_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	M	N-terminal	stable	poly(I:C)	2	run FB-M_stable_PIC_1306_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-M_stable_PIC_1306_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	M	N-terminal	stable	poly(I:C)
FB-M_stable_PIC_1306_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	M	N-terminal	stable	poly(I:C)	3	run FB-M_stable_PIC_1306_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-M_stable_PIC_1306_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	M	N-terminal	stable	poly(I:C)
FB-NSP10_stable_1906_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP10	N-terminal	stable	not treated	1	run FB-NSP10_stable_1906_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP10_stable_1906_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP10	N-terminal	stable	not treated
FB-NSP10_stable_1906_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP10	N-terminal	stable	not treated	2	run FB-NSP10_stable_1906_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP10_stable_1906_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP10	N-terminal	stable	not treated
FB-NSP10_stable_1906_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP10	N-terminal	stable	not treated	3	run FB-NSP10_stable_1906_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP10_stable_1906_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP10	N-terminal	stable	not treated
FB-NSP10_stable_pIC_2906_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP10	N-terminal	stable	poly(I:C)	1	run FB-NSP10_stable_pIC_2906_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP10_stable_pIC_2906_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP10	N-terminal	stable	poly(I:C)
FB-NSP10_stable_pIC_2906_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP10	N-terminal	stable	poly(I:C)	2	run FB-NSP10_stable_pIC_2906_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP10_stable_pIC_2906_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP10	N-terminal	stable	poly(I:C)
FB-NSP10_stable_pIC_2906_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP10	N-terminal	stable	poly(I:C)	3	run FB-NSP10_stable_pIC_2906_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP10_stable_pIC_2906_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP10	N-terminal	stable	poly(I:C)
FB-NSP12_stable_2804_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP12	N-terminal	stable	not treated	1	run FB-NSP12_stable_2804_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP12_stable_2804_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP12	N-terminal	stable	not treated
FB-NSP12_stable_2804_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP12	N-terminal	stable	not treated	2	run FB-NSP12_stable_2804_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP12_stable_2804_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP12	N-terminal	stable	not treated
FB-NSP12_stable_2804_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP12	N-terminal	stable	not treated	3	run FB-NSP12_stable_2804_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP12_stable_2804_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP12	N-terminal	stable	not treated
FB-NSP12_stable_PIC_1306_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP12	N-terminal	stable	poly(I:C)	1	run FB-NSP12_stable_PIC_1306_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP12_stable_PIC_1306_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP12	N-terminal	stable	poly(I:C)
FB-NSP12_stable_PIC_1306_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP12	N-terminal	stable	poly(I:C)	2	run FB-NSP12_stable_PIC_1306_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP12_stable_PIC_1306_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP12	N-terminal	stable	poly(I:C)
FB-NSP12_stable_PIC_1306_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP12	N-terminal	stable	poly(I:C)	3	run FB-NSP12_stable_PIC_1306_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP12_stable_PIC_1306_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP12	N-terminal	stable	poly(I:C)
FB-NSP13_stable_0805_A	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP13	N-terminal	stable	not treated	1	run FB-NSP13_stable_0805_A	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP13_stable_0805_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP13	N-terminal	stable	not treated
FB-NSP13_stable_0805_B	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP13	N-terminal	stable	not treated	2	run FB-NSP13_stable_0805_B	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP13_stable_0805_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP13	N-terminal	stable	not treated
FB-NSP13_stable_0805_C	Homo sapiens	kidney	kidney	epithelial cell	normal	HEK293	CVCL_U427	Flp-In-T-REx-293	fetal	not available	female	not available	cell	streptavidin enrichment	NSP13	N-terminal	stable	not treated	3	run FB-NSP13_stable_0805_C	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	6 ppm	20 ppm	1	1	FB-NSP13_stable_0805_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NSP13	N-terminal	stable	not treated
