source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[proteomics data acquisition method]
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___1_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___1_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	1	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___1_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	20	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___20_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	21	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___21_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	22	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___22_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	23	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___23_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___24_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___24_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	24	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___24_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	25	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___25_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___26_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___26_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	26	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___26_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	27	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___27_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	28	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___28_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	29	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___29_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	2	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___2_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___30_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___30_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	30	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___30_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	3	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___3_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	4	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___4_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	5	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___5_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___6_	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	endocervical adenocarcinoma	HeLa	CVCL_0030	HeLa	adult	30Y6M	female	African American	cell	1	run 20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___6_	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	not available	1	6	20220927_E0_Neo0_FAIMS_uPAC_5cm_250pg_HeLa_DIA___6_.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	Data-independent acquisition
