source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
PXD053037-Sample-17	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-18	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F04.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-19	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F05.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-20	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-21	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-22	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-23	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F09.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-24	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-25	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-26	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-27	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-28	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_A_F14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_A_F14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-29	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-30	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-31	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-32	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F04.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-33	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F05.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-34	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-35	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F07.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-36	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-37	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F09.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-38	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-39	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F11.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-40	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F12.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-41	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F13.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-42	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F14.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-43	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_040519_DDA_B_F14a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_040519_DDA_B_F14a.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-44	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_070519_DIA_C_18	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_070519_DIA_C_18.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-45	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_070519_DIA_C_19	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_070519_DIA_C_19.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-46	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_070519_DIA_C_20	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_070519_DIA_C_20.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-47	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_070519_DIA_C_22	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_070519_DIA_C_22.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-48	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_250419_DIA_A_01	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_250419_DIA_A_01.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-49	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_250419_DIA_A_02	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_250419_DIA_A_02.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
PXD053037-Sample-50	Mus musculus	heart	cardiac muscle cell	not available	not available	1	D_Kownatzki_290119_250419_DIA_A_03	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=label free sample;AC=MS:1002038	NT=TripleTOF 5600+;AC=MS:1002584	NT=Trypsin;AC=MS:1001251	1	1	D_Kownatzki_290119_250419_DIA_A_03.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v2.0.0
