source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[depletion]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[absorbed dose]	factor value[age group]	factor value[irradiation status]
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_29-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	11	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_30-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	12	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_31-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	13	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_32-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	14	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_33-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	15	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_34-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	16	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_35-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	17	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_36-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	18	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_37-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	19	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 global pooled reference	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	not available	not available	Fusion_160307_38-TMT126	proteomic profiling by mass spectrometry	1	Fusion_160307_38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT126	20	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	pooled reference	pooled reference	pooled reference
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_19-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	1	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_20-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	2	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_21-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	3	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_22-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	4	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_23-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	5	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_24-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	6	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_25-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	7	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_26-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	8	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_27-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	9	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_28-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	10	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_29-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	11	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
PXD015859 pooled group A	Mus musculus	blood plasma	not available	pooled	pooled	normal	organism part	24 hour	depletion	not available	C57BL/6N	female	Fusion_160307_30-TMT127N	proteomic profiling by mass spectrometry	1	Fusion_160307_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	TMT127N	12	5 ppm	500 mmu	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;PP=Any N-term;MT=Fixed	0.5 Gy	7-week-old	irradiated
