source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[viral bait]	factor value[fusion orientation]	factor value[expression mode]	factor value[stimulation]	factor value[sample group]
PXD033452-Sample-68	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP4_stable_0305_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP4_stable_0305_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP4_stable_0305_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP4	FB	stable	not treated	FB-NSP4_stable_0305
PXD033452-Sample-69	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP4_stable_PIC_1306_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP4_stable_PIC_1306_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP4_stable_PIC_1306_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP4	FB	stable	poly(I:C)	FB-NSP4_stable_PIC_1306
PXD033452-Sample-70	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP4_stable_PIC_1306_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP4_stable_PIC_1306_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP4_stable_PIC_1306_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP4	FB	stable	poly(I:C)	FB-NSP4_stable_PIC_1306
PXD033452-Sample-71	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP4_stable_PIC_1306_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP4_stable_PIC_1306_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP4_stable_PIC_1306_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP4	FB	stable	poly(I:C)	FB-NSP4_stable_PIC_1306
PXD033452-Sample-72	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP5_stable_2306_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP5_stable_2306_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP5_stable_2306_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP5	FB	stable	not treated	FB-NSP5_stable_2306
PXD033452-Sample-73	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP5_stable_2306_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP5_stable_2306_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP5_stable_2306_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP5	FB	stable	not treated	FB-NSP5_stable_2306
PXD033452-Sample-74	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP5_stable_2306_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP5_stable_2306_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP5_stable_2306_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP5	FB	stable	not treated	FB-NSP5_stable_2306
PXD033452-Sample-75	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP5_stable_PIC_2506_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP5_stable_PIC_2506_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP5_stable_PIC_2506_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP5	FB	stable	poly(I:C)	FB-NSP5_stable_PIC_2506
PXD033452-Sample-76	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP5_stable_PIC_2506_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP5_stable_PIC_2506_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP5_stable_PIC_2506_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP5	FB	stable	poly(I:C)	FB-NSP5_stable_PIC_2506
PXD033452-Sample-77	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP5_stable_PIC_2506_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP5_stable_PIC_2506_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP5_stable_PIC_2506_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP5	FB	stable	poly(I:C)	FB-NSP5_stable_PIC_2506
PXD033452-Sample-78	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP6_stable_0305_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP6_stable_0305_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP6_stable_0305_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP6	FB	stable	not treated	FB-NSP6_stable_0305
PXD033452-Sample-79	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP6_stable_0305_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP6_stable_0305_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP6_stable_0305_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP6	FB	stable	not treated	FB-NSP6_stable_0305
PXD033452-Sample-80	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP6_stable_0305_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP6_stable_0305_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP6_stable_0305_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP6	FB	stable	not treated	FB-NSP6_stable_0305
PXD033452-Sample-81	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP6_stable_PIC_2906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP6_stable_PIC_2906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP6_stable_PIC_2906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP6	FB	stable	poly(I:C)	FB-NSP6_stable_PIC_2906
PXD033452-Sample-82	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP6_stable_PIC_2906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP6_stable_PIC_2906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP6_stable_PIC_2906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP6	FB	stable	poly(I:C)	FB-NSP6_stable_PIC_2906
PXD033452-Sample-83	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP6_stable_PIC_2906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP6_stable_PIC_2906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP6_stable_PIC_2906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP6	FB	stable	poly(I:C)	FB-NSP6_stable_PIC_2906
PXD033452-Sample-84	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP7_stable_1906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP7_stable_1906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP7_stable_1906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP7	FB	stable	not treated	FB-NSP7_stable_1906
PXD033452-Sample-85	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP7_stable_1906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP7_stable_1906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP7_stable_1906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP7	FB	stable	not treated	FB-NSP7_stable_1906
PXD033452-Sample-86	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP7_stable_1906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP7_stable_1906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP7_stable_1906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP7	FB	stable	not treated	FB-NSP7_stable_1906
PXD033452-Sample-87	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP7_stable_PIC_2906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP7_stable_PIC_2906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP7_stable_PIC_2906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP7	FB	stable	poly(I:C)	FB-NSP7_stable_PIC_2906
PXD033452-Sample-88	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP7_stable_PIC_2906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP7_stable_PIC_2906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP7_stable_PIC_2906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP7	FB	stable	poly(I:C)	FB-NSP7_stable_PIC_2906
PXD033452-Sample-89	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP7_stable_PIC_2906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP7_stable_PIC_2906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP7_stable_PIC_2906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP7	FB	stable	poly(I:C)	FB-NSP7_stable_PIC_2906
PXD033452-Sample-90	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP8_stable_0805_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_0805_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_0805_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	not treated	FB-NSP8_stable_0805
PXD033452-Sample-91	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP8_stable_0805_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_0805_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_0805_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	not treated	FB-NSP8_stable_0805
PXD033452-Sample-92	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP8_stable_0805_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_0805_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_0805_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	not treated	FB-NSP8_stable_0805
PXD033452-Sample-93	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP8_stable_PIC_2906_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_PIC_2906_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_PIC_2906_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	poly(I:C)	FB-NSP8_stable_PIC_2906
PXD033452-Sample-94	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP8_stable_PIC_2906_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_PIC_2906_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_PIC_2906_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	poly(I:C)	FB-NSP8_stable_PIC_2906
PXD033452-Sample-95	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP8_stable_PIC_2906_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP8_stable_PIC_2906_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP8_stable_PIC_2906_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP8	FB	stable	poly(I:C)	FB-NSP8_stable_PIC_2906
PXD033452-Sample-96	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	1	cell	not available	affinity purification	FB-NSP9_stable_2804_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_2804_A.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_2804_A.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	not treated	FB-NSP9_stable_2804
PXD033452-Sample-97	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	2	cell	not available	affinity purification	FB-NSP9_stable_2804_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_2804_B.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_2804_B.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	not treated	FB-NSP9_stable_2804
PXD033452-Sample-98	Homo sapiens	cell culture	Flp-In T-REx HEK293	epithelial cell	3	cell	not available	affinity purification	FB-NSP9_stable_2804_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	FB-NSP9_stable_2804_C.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/03/PXD033452/FB-NSP9_stable_2804_C.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	AC=MS:1000422;NT=HCD	not available	not available	not available	not available	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NSP9	FB	stable	not treated	FB-NSP9_stable_2804
