source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ProteomeSF8	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeSF8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeSF8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeSF8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeHOPE3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeHOPE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeHOPE3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeHOPE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeHOPE1	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeHOPE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeHOPE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeHOPE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeSF1	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE4	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeHOPE7	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeHOPE7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeHOPE7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeHOPE7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeSF5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeSF5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeSF5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeSF5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeSF3	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeSF3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeSF3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeSF3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeSF8	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeSF7	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeSF7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeSF7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeSF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeSF7	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeHOPE8	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeHOPE8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeHOPE8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeHOPE8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE1	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
PhosphoproteomeSF5	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	PhosphoproteomeSF5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	PhosphoproteomeSF5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/PhosphoproteomeSF5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeHOPE7	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeHOPE7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeHOPE7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeHOPE7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
ProteomeSF2	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	ProteomeSF2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	10 ppm	0.4 Da	40% NCE	tris(2-carboxyethyl)phosphine (tcep)	1	1	ProteomeSF2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/05/PXD000836/ProteomeSF2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	lung
