source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HOR1026-S22-A-Contr-L_36Au-M_36nonAu-H_WellC3	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S22-A-Contr-L_36Au-M_36nonAu-H_WellC3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S22-A-Contr-L_36Au-M_36nonAu-H_WellC3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S22-A-Contr-L_36Au-M_36nonAu-H_WellC3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S20-A-Contr-L_36Au-M_36nonAu-H_WellC1	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S20-A-Contr-L_36Au-M_36nonAu-H_WellC1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S20-A-Contr-L_36Au-M_36nonAu-H_WellC1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S20-A-Contr-L_36Au-M_36nonAu-H_WellC1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S07-A-27-AU-L_27-non-M_Contrl-H_WellA6	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S07-A-27-AU-L_27-non-M_Contrl-H_WellA6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S07-A-27-AU-L_27-non-M_Contrl-H_WellA6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S07-A-27-AU-L_27-non-M_Contrl-H_WellA6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S31-A-36nonAu-L_Contr-M_36Au-H_WellD3	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S31-A-36nonAu-L_Contr-M_36Au-H_WellD3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S31-A-36nonAu-L_Contr-M_36Au-H_WellD3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S31-A-36nonAu-L_Contr-M_36Au-H_WellD3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S06-A-Contr-L_27Au-M_27nonAu-H_WellA5	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S06-A-Contr-L_27Au-M_27nonAu-H_WellA5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S06-A-Contr-L_27Au-M_27nonAu-H_WellA5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S06-A-Contr-L_27Au-M_27nonAu-H_WellA5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S33-A-36nonAu-L_Contr-M_36Au-H_WellD5	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S33-A-36nonAu-L_Contr-M_36Au-H_WellD5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S33-A-36nonAu-L_Contr-M_36Au-H_WellD5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S33-A-36nonAu-L_Contr-M_36Au-H_WellD5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S32-A-36nonAu-L_Contr-M_36Au-H_WellD4	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S32-A-36nonAu-L_Contr-M_36Au-H_WellD4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S32-A-36nonAu-L_Contr-M_36Au-H_WellD4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S32-A-36nonAu-L_Contr-M_36Au-H_WellD4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S15-A-27nonAu-L_Contr-M_27Au-H_WellB5	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S15-A-27nonAu-L_Contr-M_27Au-H_WellB5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S15-A-27nonAu-L_Contr-M_27Au-H_WellB5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S15-A-27nonAu-L_Contr-M_27Au-H_WellB5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1001-S06-A-27-AU-L_27-non-M_Contrl-H_WellA5	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1001-S06-A-27-AU-L_27-non-M_Contrl-H_WellA5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1001-S06-A-27-AU-L_27-non-M_Contrl-H_WellA5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1001-S06-A-27-AU-L_27-non-M_Contrl-H_WellA5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S11-A-27nonAu-L_Contr-M_27Au-H_WellB1	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S11-A-27nonAu-L_Contr-M_27Au-H_WellB1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S11-A-27nonAu-L_Contr-M_27Au-H_WellB1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S11-A-27nonAu-L_Contr-M_27Au-H_WellB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S29-A-36nonAu-L_Contr-M_36Au-H_WellD1	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S29-A-36nonAu-L_Contr-M_36Au-H_WellD1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S29-A-36nonAu-L_Contr-M_36Au-H_WellD1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S29-A-36nonAu-L_Contr-M_36Au-H_WellD1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S30-A-36nonAu-L_Contr-M_36Au-H_WellD2	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S30-A-36nonAu-L_Contr-M_36Au-H_WellD2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S30-A-36nonAu-L_Contr-M_36Au-H_WellD2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S30-A-36nonAu-L_Contr-M_36Au-H_WellD2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
HOR1026-S13-A-27nonAu-L_Contr-M_27Au-H_WellB3	rattus norvegicus	retina	not applicable	blindness	adult	1	HOR1026-S13-A-27nonAu-L_Contr-M_27Au-H_WellB3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	acrylamide (aa)	1	1	HOR1026-S13-A-27nonAu-L_Contr-M_27Au-H_WellB3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD001463/HOR1026-S13-A-27nonAu-L_Contr-M_27Au-H_WellB3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	manual curation	retina
