source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[strain]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[strain]
d1118	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d1118	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_10_Slot2-10_1_231	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_10_Slot2-10_1_231.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d1118
d2901	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2901	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_11_Slot2-11_1_233	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_11_Slot2-11_1_233.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2901
d2805A	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2805A	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_12_Slot2-12_1_235	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_12_Slot2-12_1_235.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2805A
H26	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	H26	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_13_Slot2-13_1_237	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_13_Slot2-13_1_237.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	H26
H26	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	H26	2	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_14_Slot2-14_1_239	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_14_Slot2-14_1_239.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	H26
d0546	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d0546	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_15_Slot2-15_1_241	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_15_Slot2-15_1_241.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d0546
d0767	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d0767	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_16_Slot2-16_1_243	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_16_Slot2-16_1_243.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d0767
d1533	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d1533	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_17_Slot2-17_1_245	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_17_Slot2-17_1_245.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d1533
d2142	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2142	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_18_Slot2-18_1_247	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_18_Slot2-18_1_247.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2142
d2523	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2523	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_19_Slot2-19_1_249	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_19_Slot2-19_1_249.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2523
d2982	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2982	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_20_Slot2-20_1_270	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	230216_2305_AgSoppa_TimsDIA_PepSep15_17min_10x_2uL_20_Slot2-20_1_270.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2982
d1118	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d1118	2	240118_2453_JoSoppa_DIA_Sample-10_Slot2-10_1_604	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	240118_2453_JoSoppa_DIA_Sample-10_Slot2-10_1_604.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d1118
d2901	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2901	2	240118_2453_JoSoppa_DIA_Sample-11_Slot2-11_1_607	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	240118_2453_JoSoppa_DIA_Sample-11_Slot2-11_1_607.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2901
d2805A	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	d2805A	2	240118_2453_JoSoppa_DIA_Sample-12_Slot2-12_1_610	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	240118_2453_JoSoppa_DIA_Sample-12_Slot2-12_1_610.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	d2805A
H26	Haloferax volcanii	not applicable	not applicable	not applicable	whole organism	H26	3	240118_2453_JoSoppa_DIA_Sample-13_Slot2-13_1_613	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=timsTOF HT;AC=MS:1003404	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	475	1000	25	1	1	240118_2453_JoSoppa_DIA_Sample-13_Slot2-13_1_613.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	H26
