source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F7397FD	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7397FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7397FD.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7397FD.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7677BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7677BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7677BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7677BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7672BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7672BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7672BL.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7672BL.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8001BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8001BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8001BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8001BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8003BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8003BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8003BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8003BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8535BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8535BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8535BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8535BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8374BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8374BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8374BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8374BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8457BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8457BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8457BL.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8457BL.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F8025BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F8025BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F8025BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F8025BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
F7771BL	phaeodactylum tricornutum ccap 1055/1	Cell culture	not applicable	not available	antibody enrichment	1	F7771BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Trimethyl;AC=UNIMOD:37;PP=Protein N-term;MT=Variable	NT=Propionyl;AC=UNIMOD:58;PP=Protein N-term;MT=Variable	NT=Methyl;AC=UNIMOD:34;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	5 ppm	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	F7771BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/05/PXD002148/F7771BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
