source name	characteristics[disease]	characteristics[developmental stage]	characteristics[organism part]	characteristics[organism]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[data file]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[developmental stage]
raf_35deg_rep3	normal	seedling	whole organism	Arabidopsis thaliana	3	PSB-960DDA_UPRC_3702E37574_1p_ih_PM7_11	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37574_1p_ih_PM7_11.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
raf_35deg_rep4	normal	seedling	whole organism	Arabidopsis thaliana	4	PSB-960DDA_UPRC_3702E37576_1p_ih_PM7_12	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37576_1p_ih_PM7_12.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
RAF20_35deg_rep1	normal	seedling	whole organism	Arabidopsis thaliana	1	PSB-960DDA_UPRC_3702E37546_1p_ih_PM7_13	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37546_1p_ih_PM7_13.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
RAF20_35deg_rep2	normal	seedling	whole organism	Arabidopsis thaliana	2	PSB-960DDA_UPRC_3702E37562_1p_ih_PM7_14	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37562_1p_ih_PM7_14.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
RAF20_35deg_rep3	normal	seedling	whole organism	Arabidopsis thaliana	3	PSB-960DDA_UPRC_3702E37566_1p_ih_PM7_15	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37566_1p_ih_PM7_15.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
RAF20_35deg_rep4	normal	seedling	whole organism	Arabidopsis thaliana	4	PSB-960DDA_UPRC_3702E37584_1p_ih_PM7_16	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37584_1p_ih_PM7_16.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
ost1-3_35deg_rep1	normal	seedling	whole organism	Arabidopsis thaliana	1	PSB-960DDA_UPRC_3702E37544_1p_ih_PM7_17	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37544_1p_ih_PM7_17.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
ost1-3_35deg_rep2	normal	seedling	whole organism	Arabidopsis thaliana	2	PSB-960DDA_UPRC_3702E37554_1p_ih_PM7_18	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37554_1p_ih_PM7_18.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
ost1-3_35deg_rep3	normal	seedling	whole organism	Arabidopsis thaliana	3	PSB-960DDA_UPRC_3702E37570_1p_ih_PM7_19	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37570_1p_ih_PM7_19.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
ost1-3_35deg_rep4	normal	seedling	whole organism	Arabidopsis thaliana	4	PSB-960DDA_UPRC_3702E37578_1p_ih_PM7_20	proteomic profiling by mass spectrometry	1	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	PSB-960DDA_UPRC_3702E37578_1p_ih_PM7_20.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=LysC/P	NT=Oxidation (M);MT=Variable	NT=Acetyl (Protein N-term);MT=Variable	NT=Phospho (STY);MT=Variable	NT=Carbamidomethyl (C);MT=Fixed	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	seedling
