source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[carbon source]	characteristics[proteomics assay]	characteristics[strain]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[carbon source]	factor value[sampling time]
UPS2-calibrant-IS24	Homo sapiens	not applicable	not applicable	pooled	pooled	not applicable	not applicable	not applicable	not applicable	calibration standard	not applicable	161104_11_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2-SILAC light	proteomic profiling by mass spectrometry	3	161104_11_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
heavy-standard-IS24	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	calibration standard	CEN.PK113-7D LYS1::KanMX	161104_11_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2-SILAC heavy	proteomic profiling by mass spectrometry	3	161104_11_Orbi2_SK_SER_G480_T515_Chalmers_Campbell_IS24_UPS2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S1-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	2 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_03_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-1-SILAC light	proteomic profiling by mass spectrometry	1	170412_03_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	2 minute
heavy-standard-for-glucose-S1	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_03_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-1-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_03_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S4-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	5 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-2-SILAC light	proteomic profiling by mass spectrometry	1	170412_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	5 minute
heavy-standard-for-glucose-S4	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-2-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_05_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S7-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	37 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-3-SILAC light	proteomic profiling by mass spectrometry	1	170412_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	37 minute
heavy-standard-for-glucose-S7	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-3-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_07_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S10-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	40 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-4-SILAC light	proteomic profiling by mass spectrometry	1	170412_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	40 minute
heavy-standard-for-glucose-S10	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-4-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_09_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S13-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	1	not pooled	not applicable	cell	60 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-5-SILAC light	proteomic profiling by mass spectrometry	1	170412_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	60 minute
heavy-standard-for-glucose-S13	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-5-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_11_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R1-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S14-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	2	not pooled	not applicable	cell	60 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_13_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-5-SILAC light	proteomic profiling by mass spectrometry	1	170412_13_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	60 minute
heavy-standard-for-glucose-S14	Saccharomyces cerevisiae	not applicable	not applicable	pooled	pooled	not applicable	cell	not applicable	not applicable	total proteome internal standard	CEN.PK113-7D LYS1::KanMX	170412_13_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-5-SILAC heavy	proteomic profiling by mass spectrometry	1	170412_13_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC heavy	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	not applicable	not applicable
glucose-S11-total-proteome	Saccharomyces cerevisiae	not applicable	not applicable	2	not pooled	not applicable	cell	40 minute	glucose	total proteome	CEN.PK113-7D BAR1::KanMX	170412_15_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-4-SILAC light	proteomic profiling by mass spectrometry	1	170412_15_Orbi2_SK_SER_G240_T275_Chalmers_Campbell_Glucose_P_R2-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Lys-C/P;AC=MS:1001310	SILAC light	1	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	26% NCE	7 ppm	0.5 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	not applicable	glucose	40 minute
