source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
WT_c51_DPPA2_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_25.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c51_DPPA4_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c51_DPPA4_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_29.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c51_IgGMs_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c51_IgGMs_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c51_IgGRb_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c51_IgGRb_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_21.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_DPPA2_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_DPPA2_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_26.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_DPPA4_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_DPPA4_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_30.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_IgGMs_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_IgGMs_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_IgGRb_1	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	1	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
WT_c52_IgGRb_2	NT=Homo sapiens;AC=NCBITaxon:9606	lung	lung	non-small cell lung cancer	NCI-H661	not available	male	2	not available	RIME	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Astral	AC=MS:1002038;NT=label free sample	NT=Trypsin/P;CS=(?<=[KR])	1	1	250814_JS-11489_22.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
