source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
131119_o1_07-so131105_dark-6	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	6	131119_o1_07-so131105_dark-6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_07-so131105_dark-6.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_07-so131105_dark-6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_19-so131105_dark-18	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	18	131119_o1_19-so131105_dark-18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_19-so131105_dark-18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_19-so131105_dark-18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_17-so131105_dark-16	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	16	131119_o1_17-so131105_dark-16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_17-so131105_dark-16.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_17-so131105_dark-16.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_08-so131105_dark-7	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	7	131119_o1_08-so131105_dark-7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_08-so131105_dark-7.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_08-so131105_dark-7.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_12-so131105_dark-11	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	11	131119_o1_12-so131105_dark-11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_12-so131105_dark-11.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_12-so131105_dark-11.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_18-so131105_dark-17	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	17	131119_o1_18-so131105_dark-17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_18-so131105_dark-17.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_18-so131105_dark-17.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_16-so131105_dark-15	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	15	131119_o1_16-so131105_dark-15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_16-so131105_dark-15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_16-so131105_dark-15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_03-so131105_dark-2	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	2	131119_o1_03-so131105_dark-2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_03-so131105_dark-2.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_03-so131105_dark-2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_15-so131105_dark-14	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	14	131119_o1_15-so131105_dark-14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_15-so131105_dark-14.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_15-so131105_dark-14.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
131119_o1_13-so131105_dark-12	ostreococcus tauri	not available	not applicable	not available	enrichment of phosphorylated protein	12	131119_o1_13-so131105_dark-12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	7 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	131119_o1_13-so131105_dark-12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/12/PXD002909/131119_o1_13-so131105_dark-12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
