source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R3_7600_ZS_18	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	18	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R3_7600_ZS_18	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R3_7600_ZS_18.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R3_7600_ZS_18.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Kidney_R1_7600_ZS_06	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	6	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Kidney_R1_7600_ZS_06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Kidney_R1_7600_ZS_06.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Kidney_R1_7600_ZS_06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Brain_R2_7600_ZS_55	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	adult	55	20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Brain_R2_7600_ZS_55	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Brain_R2_7600_ZS_55.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat2_Brain_R2_7600_ZS_55.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Testis_R2_7600_ZS_66	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	adult	66	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Testis_R2_7600_ZS_66	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Testis_R2_7600_ZS_66.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Testis_R2_7600_ZS_66.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Liver_R1_7600_ZS_85	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	85	20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Liver_R1_7600_ZS_85	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Liver_R1_7600_ZS_85.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Liver_R1_7600_ZS_85.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Brain_R2_7600_ZS_50	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	adult	50	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Brain_R2_7600_ZS_50	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Brain_R2_7600_ZS_50.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Brain_R2_7600_ZS_50.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R3_7600_ZS_21	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	21	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R3_7600_ZS_21	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R3_7600_ZS_21.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R3_7600_ZS_21.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Liver_R3_7600_ZS_27	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	27	20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Liver_R3_7600_ZS_27	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Liver_R3_7600_ZS_27.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat3_Liver_R3_7600_ZS_27.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R1_7600_ZS_48	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	48	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R1_7600_ZS_48	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R1_7600_ZS_48.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat1_Liver_R1_7600_ZS_48.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FF_Rat3_Testis_R3_7600_ZS_70	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	adult	70	20230113_EMH_F1-1_Phos_1st_FF_Rat3_Testis_R3_7600_ZS_70	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat3_Testis_R3_7600_ZS_70.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat3_Testis_R3_7600_ZS_70.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Brain_7600_ZS_1_10	rattus norvegicus	brain	not applicable	not available	enrichment of phosphorylated protein	adult	10	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Brain_7600_ZS_1_10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Brain_7600_ZS_1_10.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230106_EMH_F1-1_Prot_200ng_FFPE_Rat3_Brain_7600_ZS_1_10.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	brain
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R1_7600_ZS_06	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	6	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R1_7600_ZS_06	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R1_7600_ZS_06.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Kidney_R1_7600_ZS_06.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Liver_R2_7600_ZS_83	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	83	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Liver_R2_7600_ZS_83	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Liver_R2_7600_ZS_83.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FFPE_Rat1_Liver_R2_7600_ZS_83.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R2_7600_ZS_38	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	38	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R2_7600_ZS_38	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R2_7600_ZS_38.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat2_Liver_R2_7600_ZS_38.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Liver_R1_7600_ZS_59	rattus norvegicus	liver	not applicable	not available	enrichment of phosphorylated protein	adult	59	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Liver_R1_7600_ZS_59	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Liver_R1_7600_ZS_59.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FFPE_Rat1_Liver_R1_7600_ZS_59.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	liver
20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R2_7600_ZS_37	rattus norvegicus	testis	not applicable	not available	enrichment of phosphorylated protein	adult	37	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R2_7600_ZS_37	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R2_7600_ZS_37.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230113_EMH_F1-1_Phos_1st_FF_Rat1_Testis_R2_7600_ZS_37.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	testis
20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Kidney_R2_7600_ZS_25	rattus norvegicus	kidney	not applicable	not available	enrichment of phosphorylated protein	adult	25	20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Kidney_R2_7600_ZS_25	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	hydrophilic interaction chromatography (hilic)	1	1	20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Kidney_R2_7600_ZS_25.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/02/PXD051873/20230110_EMH_F1-1_Phos_2nd_FF_Rat1_Kidney_R2_7600_ZS_25.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	kidney
