source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
Tumor_mouse_I_Immunopeptidomics_CHEMO 1 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	74	1	TTU_YS_23515_Tumor_mouse_74-CYCLOC1F1-CLASS_I-1_06022025_2-7-2025_4097.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Tumor_mouse_I_Immunopeptidomics_CHEMO 2 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	75	1	TTU_YS_23515_Tumor_mouse_75-CYCLOC1F1-CLASS_I-2_06022025_2-6-2025_4095.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Tumor_mouse_I_Immunopeptidomics_CHEMO 3 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	76	1	TTU_YS_23515_Tumor_mouse_76-CYCLOC1F1-CLASS_I-3_06022025_2-6-2025_4093.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
Tumor_mouse_I_Immunopeptidomics_CHEMO 4 HLA-I_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	Immunopeptidomics_class_I	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	77	1	TTU_YS_23515_Tumor_mouse_77-CYCLOC1F1-CLASS_I-4_06022025_2-6-2025_4092.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SW620_A0301_I_proteomic_DMSO 1_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	proteomics	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	1	1	TTP_YS_24105_SW620_A0301-DMSO1_28052025.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SW620_A0301_I_proteomic_DMSO 2_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	proteomics	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2	1	TTP_YS_24105_SW620_A0301-DMSO2_28052025.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SW620_A0301_I_proteomic_DMSO 3_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	proteomics	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	3	1	TTP_YS_24105_SW620_A0301-DMSO3_28052025.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SW620_A0301_I_proteomic_Chemo 1_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	proteomics	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	1	1	TTP_YS_24105_SW620_A0301-Chemo1_28052025.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SW620_A0301_I_proteomic_Chemo 2_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	proteomics	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	2	1	TTP_YS_24105_SW620_A0301-Chemo2_28052025.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
SW620_A0301_I_proteomic_Chemo 3_discovery	Homo sapiens	colon	SW620	CRC	not available	51Y	male	1	not available	proteomics	proteomic profiling by mass spectrometry	Data-independent acquisition	timsTOF	NT=label free sample;AC=MS:1002038	not applicable	3	1	TTP_YS_24105_SW620_A0301-Chemo3_28052025.d.zip	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
