source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
PXD044594-Sample-11	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV15_S1-B10_1_15780	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV15_S1-B10_1_15780.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-12	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV15_S1-B9_1_15779	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV15_S1-B9_1_15779.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-13	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV16_S1-B11_1_15781	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV16_S1-B11_1_15781.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-14	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV16_S1-B12_1_15782	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV16_S1-B12_1_15782.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-15	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV17_S1-C1_1_15783	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV17_S1-C1_1_15783.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-16	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV17_S1-C2_1_15784	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV17_S1-C2_1_15784.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-17	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV18_S1-C3_1_15785	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV18_S1-C3_1_15785.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-18	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV18_S1-C4_1_15787	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV18_S1-C4_1_15787.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-19	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV1_S1-A1_1_15759	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV1_S1-A1_1_15759.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-20	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV1_S1-A2_1_15760	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV1_S1-A2_1_15760.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-21	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV2_S1-A3_1_15761	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV2_S1-A3_1_15761.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-22	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV2_S1-A4_1_15762	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV2_S1-A4_1_15762.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-23	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV3_S1-A5_1_15763	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV3_S1-A5_1_15763.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-24	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV3_S1-A6_1_15764	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV3_S1-A6_1_15764.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-25	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV4_S1-A7_1_15765	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV4_S1-A7_1_15765.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-26	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV4_S1-A8_1_15766	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV4_S1-A8_1_15766.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-27	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV5_S1-A10_1_15768	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV5_S1-A10_1_15768.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-28	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV5_S1-A9_1_15767	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV5_S1-A9_1_15767.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-29	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV6_S1-A11_1_15769	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV6_S1-A11_1_15769.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-30	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV6_S1-A12_1_15770	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV6_S1-A12_1_15770.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-31	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV7_S1-B1_1_15771	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV7_S1-B1_1_15771.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-32	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV7_S1-B2_1_15772	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV7_S1-B2_1_15772.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-33	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV8_S1-B3_1_15773	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV8_S1-B3_1_15773.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-34	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV8_S1-B4_1_15774	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV8_S1-B4_1_15774.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-35	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV9_S3-A1_1_15751	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV9_S3-A1_1_15751.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
PXD044594-Sample-36	Homo sapiens	heart	cardiac muscle cell	familial hypercholesterolemia	1	221022kw_CK_EV9_S3-A2_1_15752	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	1	1	221022kw_CK_EV9_S3-A2_1_15752.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	familial hypercholesterolemia
