source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20141103_RT_AB0636_TiO_21	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	21	20141103_RT_AB0636_TiO_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20141103_RT_AB0636_TiO_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20141103_RT_AB0636_TiO_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131017_RT_AB0629_TiO2_28	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	28	20131017_RT_AB0629_TiO2_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131017_RT_AB0629_TiO2_28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131017_RT_AB0629_TiO2_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140103_RT_AB0632_TiO_02	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	2	20140103_RT_AB0632_TiO_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140103_RT_AB0632_TiO_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140103_RT_AB0632_TiO_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140803_RT_AB0636_TiO2_04	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	4	20140803_RT_AB0636_TiO2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140803_RT_AB0636_TiO2_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140803_RT_AB0636_TiO2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131017_RT_AB0629_TiO2_12	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	12	20131017_RT_AB0629_TiO2_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131017_RT_AB0629_TiO2_12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131017_RT_AB0629_TiO2_12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20130830_JS_RT_AB0621_TIO_FR1	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20130830_JS_RT_AB0621_TIO_FR1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20130830_JS_RT_AB0621_TIO_FR1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20130830_JS_RT_AB0621_TIO_FR1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140103_RT_AB0632_TiO_07	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	7	20140103_RT_AB0632_TiO_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140103_RT_AB0632_TiO_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140103_RT_AB0632_TiO_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140103_RT_AB0632_TiO_19	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	19	20140103_RT_AB0632_TiO_19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140103_RT_AB0632_TiO_19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140103_RT_AB0632_TiO_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20130830_JS_RT_AB0621_TIO_FR28	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20130830_JS_RT_AB0621_TIO_FR28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	28	1	20130830_JS_RT_AB0621_TIO_FR28.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20130830_JS_RT_AB0621_TIO_FR28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20130830_JS_RT_AB0621_TIO_FR27	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20130830_JS_RT_AB0621_TIO_FR27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	27	1	20130830_JS_RT_AB0621_TIO_FR27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20130830_JS_RT_AB0621_TIO_FR27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131230_RT_AB0631_TiO_21	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	21	20131230_RT_AB0631_TiO_21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131230_RT_AB0631_TiO_21.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131230_RT_AB0631_TiO_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131230_RT_AB0631_TiO_20	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	20	20131230_RT_AB0631_TiO_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131230_RT_AB0631_TiO_20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131230_RT_AB0631_TiO_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131230_RT_AB0631_TiO_27	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	27	20131230_RT_AB0631_TiO_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131230_RT_AB0631_TiO_27.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131230_RT_AB0631_TiO_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140103_RT_AB0632_TiO_29	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	29	20140103_RT_AB0632_TiO_29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140103_RT_AB0632_TiO_29.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140103_RT_AB0632_TiO_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140803_RT_AB0636_TiO2_17	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	17	20140803_RT_AB0636_TiO2_17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140803_RT_AB0636_TiO2_17.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140803_RT_AB0636_TiO2_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20130830_JS_RT_AB0621_TIO_FR24	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20130830_JS_RT_AB0621_TIO_FR24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	24	1	20130830_JS_RT_AB0621_TIO_FR24.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20130830_JS_RT_AB0621_TIO_FR24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20140803_RT_AB0636_TiO2_01	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20140803_RT_AB0636_TiO2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20140803_RT_AB0636_TiO2_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20140803_RT_AB0636_TiO2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20130830_JS_RT_AB0621_TIO_FR3	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	1	20130830_JS_RT_AB0621_TIO_FR3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	3	1	20130830_JS_RT_AB0621_TIO_FR3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20130830_JS_RT_AB0621_TIO_FR3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131230_RT_AB0631_TiO_18	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	18	20131230_RT_AB0631_TiO_18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131230_RT_AB0631_TiO_18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131230_RT_AB0631_TiO_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131017_RT_AB0629_TiO2_08	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	8	20131017_RT_AB0629_TiO2_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131017_RT_AB0629_TiO2_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131017_RT_AB0629_TiO2_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
20131017_RT_AB0629_TiO2_10	mus musculus	serum	HeLa cell	not available	enrichment of phosphorylated protein	HeLa	CVCL_0030	HeLa	10	20131017_RT_AB0629_TiO2_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap xl;AC=MS:1000556	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	35% NCE	strong cation-exchange chromatography (scx)	1	1	20131017_RT_AB0629_TiO2_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD003073/20131017_RT_AB0629_TiO2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	serum
