source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[culture vessel]	characteristics[bile salt composition]	characteristics[culturing time]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[culture vessel]	factor value[bile salt composition]	factor value[culturing time]
Sample11	Sample11	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	culture tube	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	3	Assay11	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_TS3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	culture tube	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample12	Sample12	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	culture tube	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	1	Assay12	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_TS1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	culture tube	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample13	Sample13	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	5 day	1	Assay13	proteomic profiling by mass spectrometry	2	Leyuan20190121_CulturingTimeTest_5d_V4_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	5 day
Sample14	Sample14	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	3	Assay14	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WS3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample15	Sample15	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	3	Assay15	proteomic profiling by mass spectrometry	2	Leyuan_20170411_96WellValidation_0hC2.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample16	Sample16	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	5 day	1	Assay16	proteomic profiling by mass spectrometry	3	Leyuan20190121_CulturingTimeTest_5d_V4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	5 day
Sample17	Sample17	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	2	Assay17	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_0hB1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample18	Sample18	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	1	Assay18	proteomic profiling by mass spectrometry	3	Leyuan_20170411_96WellValidation_0hA3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample19	Sample19	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	3	Assay19	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_0hC1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample20	Sample20	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	1 day	1	Assay20	proteomic profiling by mass spectrometry	2	Leyuan20190121_CulturingTimeTest_1d_V4_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	1 day
Sample21	Sample21	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	2	Assay21	proteomic profiling by mass spectrometry	2	Leyuan_20170411_96WellValidation_0hB2.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample22	Sample22	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	3 day	1	Assay22	proteomic profiling by mass spectrometry	3	Leyuan20190121_CulturingTimeTest_3d_V4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	3 day
Sample23	Sample23	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	5 day	1	Assay23	proteomic profiling by mass spectrometry	1	Leyuan20190121_CulturingTimeTest_5d_V4_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	5 day
Sample24	Sample24	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	1 day	1	Assay24	proteomic profiling by mass spectrometry	1	Leyuan20190121_CulturingTimeTest_1d_V4_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	1 day
Sample25	Sample25	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	3	Assay25	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_TP3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample26	Sample26	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	3 day	1	Assay26	proteomic profiling by mass spectrometry	2	Leyuan20190121_CulturingTimeTest_3d_V4_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	3 day
Sample27	Sample27	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	2 day	1	Assay27	proteomic profiling by mass spectrometry	2	Leyuan20190121_CulturingTimeTest_2d_V4_2.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	2 day
Sample28	Sample28	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	2 day	1	Assay28	proteomic profiling by mass spectrometry	1	Leyuan20190121_CulturingTimeTest_2d_V4_1.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	2 day
Sample29	Sample29	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	2 day	1	Assay29	proteomic profiling by mass spectrometry	3	Leyuan20190121_CulturingTimeTest_2d_V4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	2 day
Sample30	Sample30	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available	2	Assay30	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_WS2_170411202424.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	96-deep-well plate	commercial bile salts (sodium cholate, sodium deoxycholate)	not available
Sample31	Sample31	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	1	Assay31	proteomic profiling by mass spectrometry	2	Leyuan_20170411_96WellValidation_0hA2.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample32	Sample32	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available	1	Assay32	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_TP1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	culture tube	primary bile salts (sodium cholate, sodium chenodeoxycholate)	not available
Sample33	Sample33	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not available	not available	1 day	1	Assay33	proteomic profiling by mass spectrometry	3	Leyuan20190121_CulturingTimeTest_1d_V4_3.raw	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	not available	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not available	not available	1 day
Sample34	Sample34	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	1	Assay34	proteomic profiling by mass spectrometry	1	Leyuan_20170411_96WellValidation_0hA1.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
Sample35	Sample35	human gut metagenome	feces	not applicable	not applicable	PXD013600	fecal material	Canada	human gut microbiome	Homo sapiens	feces	not applicable	not applicable	0 h	2	Assay35	proteomic profiling by mass spectrometry	3	Leyuan_20170411_96WellValidation_0hB3.RAW	v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=human-gut;VV=v1.0.0	not applicable	not applicable	0 h
