source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
m15765_pro_TMT26_F11	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15765_pro_TMT26_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	11	1	m15765_pro_TMT26_F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15765_pro_TMT26_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15774_pro_TMT28_F7	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15774_pro_TMT28_F7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	7	1	m15774_pro_TMT28_F7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15774_pro_TMT28_F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15579_pro_TMT25_F10	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15579_pro_TMT25_F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	10	1	m15579_pro_TMT25_F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15579_pro_TMT25_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15714_pro_TMT18_F12	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15714_pro_TMT18_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	12	1	m15714_pro_TMT18_F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15714_pro_TMT18_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15516_pro_TMT15_F12	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15516_pro_TMT15_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	12	1	m15516_pro_TMT15_F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15516_pro_TMT15_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15645_pro_TMT8_F8	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15645_pro_TMT8_F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	8	1	m15645_pro_TMT8_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15645_pro_TMT8_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15538_pro_TMT19_F8	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15538_pro_TMT19_F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	8	1	m15538_pro_TMT19_F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15538_pro_TMT19_F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15533_pro_TMT19_F3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15533_pro_TMT19_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	m15533_pro_TMT19_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15533_pro_TMT19_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15614_pro_TMT4_F3	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15614_pro_TMT4_F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	3	1	m15614_pro_TMT4_F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15614_pro_TMT4_F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15424_pro_TMT1_F11	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15424_pro_TMT1_F11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	11	1	m15424_pro_TMT1_F11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15424_pro_TMT1_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
m15470_pro_TMT9_F5	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	m15470_pro_TMT9_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap fusion lumos;AC=MS:1002732	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	0.9 Da	0.9 Da	dithiothreitol (dtt)	iodoacetamide (iaa)	5	1	m15470_pro_TMT9_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/11/PXD015575/m15470_pro_TMT9_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
