source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[age]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[acquisition date]	comment[ms min im]	comment[ms max im]	comment[scan window lower limit]	comment[scan window upper limit]	factor value[cell type]	factor value[genotype]
mouse 190M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	3	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	190M	20230628_TIMS06_FAR_SA_S250_MouseAAT__190M_intermediate_S3-B8_1_9591	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__190M_intermediate_S3-B8_1_9591.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 190M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	3	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	190M	20230628_TIMS06_FAR_SA_S250_MouseAAT__190M_portal_S3-B9_1_9592	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__190M_portal_S3-B9_1_9592.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 199 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	4	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	199	20230628_TIMS06_FAR_SA_S250_MouseAAT__199_central_S3-G4_1_9632	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__199_central_S3-G4_1_9632.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 199 intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	4	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	199	20230628_TIMS06_FAR_SA_S250_MouseAAT__199_intermediate_S3-G5_1_9633	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__199_intermediate_S3-G5_1_9633.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 199 portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	4	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	199	20230628_TIMS06_FAR_SA_S250_MouseAAT__199_portal_S3-G6_1_9634	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__199_portal_S3-G6_1_9634.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-30	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 259 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	4	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	259	20230628_TIMS06_FAR_SA_S250_MouseAAT__259_central_S3-C1_1_9593	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__259_central_S3-C1_1_9593.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 259 intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	4	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	259	20230628_TIMS06_FAR_SA_S250_MouseAAT__259_intermediate_S3-C2_1_9594	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__259_intermediate_S3-C2_1_9594.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 259 portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	4	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	259	20230628_TIMS06_FAR_SA_S250_MouseAAT__259_portal_S3-C3_1_9595	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__259_portal_S3-C3_1_9595.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 289 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	5	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	289	20230628_TIMS06_FAR_SA_S250_MouseAAT__289_central_S3-C4_1_9596	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__289_central_S3-C4_1_9596.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 289 intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	5	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	289	20230628_TIMS06_FAR_SA_S250_MouseAAT__289_intermediate_S3-C5_1_9597	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__289_intermediate_S3-C5_1_9597.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 289 portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	5	normal	adult	not available	not available	8W	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	289	20230628_TIMS06_FAR_SA_S250_MouseAAT__289_portal_S3-C6_1_9598	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__289_portal_S3-C6_1_9598.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 28M intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	1	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	28M	20230628_TIMS06_FAR_SA_S250_MouseAAT__28M_intermediate_S3-A2_1_9576	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__28M_intermediate_S3-A2_1_9576.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre
mouse 28M portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	1	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre	28M	20230628_TIMS06_FAR_SA_S250_MouseAAT__28M_portal_S3-A3_1_9577	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__28M_portal_S3-A3_1_9577.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-28	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre
mouse 326 central	Mus musculus	liver lobule centrilobular region	centrilobular region hepatocyte	5	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	326	20230628_TIMS06_FAR_SA_S250_MouseAAT__326_central_S3-D4_1_9605	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__326_central_S3-D4_1_9605.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	centrilobular region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 326 intermediate	Mus musculus	liver lobule midzonal region	midzonal region hepatocyte	5	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	326	20230628_TIMS06_FAR_SA_S250_MouseAAT__326_intermediate_S3-D5_1_9606	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__326_intermediate_S3-D5_1_9606.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	midzonal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
mouse 326 portal	Mus musculus	liver lobule periportal region	periportal region hepatocyte	5	alpha 1-antitrypsin deficiency	adult	not available	not available	8W	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)	326	20230628_TIMS06_FAR_SA_S250_MouseAAT__326_portal_S3-D6_1_9607	proteomic profiling by mass spectrometry	1	20230628_TIMS06_FAR_SA_S250_MouseAAT__326_portal_S3-D6_1_9607.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=timsTOF SCP;AC=MS:1003231	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	15 ppm	15 ppm	not available	NT=time-of-flight;AC=MS:1000084	2023-06-29	0.7	1.3	300	1200	periportal region hepatocyte	PiZ Alb-Cre Raptor floxed (hepatocyte-specific Raptor knockout)
