source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
E07453_2p_25_Alan_ubicofradic_blanc_fr23	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07453_2p_25_Alan_ubicofradic_blanc_fr23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	23	1	E07453_2p_25_Alan_ubicofradic_blanc_fr23.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07453_2p_25_Alan_ubicofradic_blanc_fr23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07378_2p_25_Alan_ubicofradic_fr41	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07378_2p_25_Alan_ubicofradic_fr41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	41	1	E07378_2p_25_Alan_ubicofradic_fr41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07378_2p_25_Alan_ubicofradic_fr41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07463_2p_25_Alan_ubicofradic_blanc_fr33	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07463_2p_25_Alan_ubicofradic_blanc_fr33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	33	1	E07463_2p_25_Alan_ubicofradic_blanc_fr33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07463_2p_25_Alan_ubicofradic_blanc_fr33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07468_1p_25_Alan_ubicofradic_blanc_fr38	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07468_1p_25_Alan_ubicofradic_blanc_fr38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	38	1	E07468_1p_25_Alan_ubicofradic_blanc_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07468_1p_25_Alan_ubicofradic_blanc_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07411_1p_25_Alan_ubicofradic_fr74	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07411_1p_25_Alan_ubicofradic_fr74	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	74	1	E07411_1p_25_Alan_ubicofradic_fr74.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07411_1p_25_Alan_ubicofradic_fr74.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07380_2p_25_Alan_ubicofradic_fr43	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07380_2p_25_Alan_ubicofradic_fr43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	43	1	E07380_2p_25_Alan_ubicofradic_fr43.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07380_2p_25_Alan_ubicofradic_fr43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07471_2p_25_Alan_ubicofradic_blanc_fr41	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07471_2p_25_Alan_ubicofradic_blanc_fr41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	41	1	E07471_2p_25_Alan_ubicofradic_blanc_fr41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07471_2p_25_Alan_ubicofradic_blanc_fr41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07389_1p_25_Alan_ubicofradic_fr52	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07389_1p_25_Alan_ubicofradic_fr52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	52	1	E07389_1p_25_Alan_ubicofradic_fr52.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07389_1p_25_Alan_ubicofradic_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07361_1p_25_Alan_ubicofradic_fr26	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07361_1p_25_Alan_ubicofradic_fr26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	26	1	E07361_1p_25_Alan_ubicofradic_fr26.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07361_1p_25_Alan_ubicofradic_fr26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07431_2p_25_Alan_ubicofradic_blanc_fr1_150204182948	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07431_2p_25_Alan_ubicofradic_blanc_fr1_150204182948	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	1	1	E07431_2p_25_Alan_ubicofradic_blanc_fr1_150204182948.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07431_2p_25_Alan_ubicofradic_blanc_fr1_150204182948.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07455_2p_25_Alan_ubicofradic_blanc_fr25	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07455_2p_25_Alan_ubicofradic_blanc_fr25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	25	1	E07455_2p_25_Alan_ubicofradic_blanc_fr25.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07455_2p_25_Alan_ubicofradic_blanc_fr25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07481_2p_25_Alan_ubicofradic_blanc_fr51	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07481_2p_25_Alan_ubicofradic_blanc_fr51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	51	1	E07481_2p_25_Alan_ubicofradic_blanc_fr51.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07481_2p_25_Alan_ubicofradic_blanc_fr51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07434_2p_25_Alan_ubicofradic_blanc_fr4	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07434_2p_25_Alan_ubicofradic_blanc_fr4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	4	1	E07434_2p_25_Alan_ubicofradic_blanc_fr4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07434_2p_25_Alan_ubicofradic_blanc_fr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07390_2p_25_Alan_ubicofradic_fr53	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07390_2p_25_Alan_ubicofradic_fr53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	53	1	E07390_2p_25_Alan_ubicofradic_fr53.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07390_2p_25_Alan_ubicofradic_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
E07373_1p_25_Alan_ubicofradic_fr38	arabidopsis thaliana	Cell culture	not applicable	not available	antibody enrichment	1	E07373_1p_25_Alan_ubicofradic_fr38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	38	1	E07373_1p_25_Alan_ubicofradic_fr38.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/08/PXD002297/E07373_1p_25_Alan_ubicofradic_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell culture
