source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[concentration of]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[cellosaurus accession]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[data file]	comment[file uri]	comment[proteomexchange accession number]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[lowest observed m/z]	comment[highest observed m/z]
sample_1165	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	3	not available	not available	not available	not available	not available	run509	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1168	Escherichia coli	not available	not available	not applicable	DH5 alpha	20,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	3	not available	not available	not available	not available	not available	run510	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_01.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1171	Escherichia coli	not available	not available	not applicable	DH5 alpha	12,50%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run511	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	4	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_04.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1174	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run512	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1177	Escherichia coli	not available	not available	not applicable	DH5 alpha	20,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run513	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1180	Escherichia coli	not available	not available	not applicable	DH5 alpha	12,50%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run514	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	5	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_05.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1183	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	2	not available	not available	not available	not available	not available	run515	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1186	Escherichia coli	not available	not available	not applicable	DH5 alpha	20,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	2	not available	not available	not available	not available	not available	run516	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1189	Escherichia coli	not available	not available	not applicable	DH5 alpha	12,50%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run517	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	6	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_06.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1192	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	3	not available	not available	not available	not available	not available	run518	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1195	Escherichia coli	not available	not available	not applicable	DH5 alpha	20,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	3	not available	not available	not available	not available	not available	run519	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_02.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1198	Escherichia coli	not available	not available	not applicable	DH5 alpha	12,50%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run520	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	7	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_07.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1201	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run521	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1204	Escherichia coli	not available	not available	not applicable	DH5 alpha	20,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run522	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Alpha_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1207	Escherichia coli	not available	not available	not applicable	DH5 alpha	12,50%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run523	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	8	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_08.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1210	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	2	not available	not available	not available	not available	not available	run524	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Beta_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1213	Escherichia coli	not available	not available	not applicable	DH5 alpha	20,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	2	not available	not available	not available	not available	not available	run525	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Beta_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1216	Escherichia coli	not available	not available	not applicable	DH5 alpha	12,50%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run526	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	9	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_09.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1219	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	3	not available	not available	not available	not available	not available	run527	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Gamma_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1222	Escherichia coli	not available	not available	not applicable	DH5 alpha	20,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	3	not available	not available	not available	not available	not available	run528	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_B_Sample_Gamma_03.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1225	Escherichia coli	not available	not available	not applicable	DH5 alpha	12,50%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run529	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	10	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_QC_10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_QC_10.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
sample_1228	Escherichia coli	not available	not available	not applicable	DH5 alpha	5,00%	CT=mixture;QY=NA;CN=iRT mixture;CV=Biognosys;CS=http://biognosys.com/content/uploads/2021/03/irt-kit-reference-sheet.xls	1	not available	not available	not available	not available	not available	run530	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2021/10/PXD010000/LFQ_Orbitrap_DDA_Condition_A_Sample_Alpha_04.raw	PXD010000	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	400	1200
