source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Sample11	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230523_OE2_BN8159-15_5_61L_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	11	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample12	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0887-18_22_64-1_NOTAG_NODETERGENT_20240320235217.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	12	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample13	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230829_OE2_BN9243-18_10_ML_55-_NOTAG_NODETERGENT_UREA.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	13	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample14	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240502_OE1_BO1444-18_19_65-1_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	14	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample15	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0883-18_18_56-3_NOTAG_NODETERGENT_20240320034524.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	15	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample16	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0866-18_1_51_1-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	16	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample17	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240502_OE1_BO1455-18_30_61-3-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	17	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample18	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230829_OE2_BN9237-18_4_ML_55_NOTAG_NODETERGENT_UREA.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	18	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample19	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230623_OE2_BN8506-15_9_56_2_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	19	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample20	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230523_OE2_BN8161-15_7_46L_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	20	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample21	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230623_OE2_BN8505-15_8_51_2_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	21	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample22	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0885-18_20_60-2B_NOTAG_NODETERGENT_20240320135147.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	22	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample23	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0888-18_23_64-2_NOTAG_NODETERGENT_20240321045016.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	23	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample24	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230829_OE2_BN9235-18_2_ML_45_NOTAG_NODETERGENT_UREA.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	24	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample25	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA230623_OE2_BN8516-15_19_56_2-_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	25	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample26	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240502_OE1_BO1439-18_14_58_2_NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	26	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample27	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240502_OE1_BO1458-18_33_65-3-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	27	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=ms-proteomics;VV=v1.1.0
Sample28	Mus musculus	cell	not available	1	not available	not available	not available	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	HA240229_OE2_BO0874-18_9_60-3-NOTAG_NODETERGENT.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap exploris 480;AC=MS:1003028	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	28	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	20 ppm	not available	not available	NT=ms-proteomics;VV=v1.1.0
