source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
C7705FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7705FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7705FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7705FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7498BL	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7498BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7498BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7498BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7099FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7099FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7099FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7099FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
H1937FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	H1937FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	H1937FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/H1937FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7798BL	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7798BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7798BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7798BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C6948FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C6948FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C6948FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C6948FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7924FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7924FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7924FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7924FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
H2018FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	H2018FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	H2018FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/H2018FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7817BL	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7817BL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7817BL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7817BL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
C7676FD	homo sapiens	Bladder cell	not applicable	urinary bladder cancer	enrichment of phosphorylated protein	1	C7676FD	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive hf-x;AC=MS:1002877	NT=orbitrap fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	0.6 Da	0.6 Da	dithiothreitol (dtt)	1	1	C7676FD.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/05/PXD022435/C7676FD.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bladder cell
