source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[treatment]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms min charge]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[type]	factor value[sampling time]	factor value[UV crosslinking]
FP-3h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	untreated	2	20240212_256_009_CDF_5FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240212_256_009_CDF_5FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	3 hour	no
FP-3h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	3 hour	untreated	3	20240212_262_009_CDF_13FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240212_262_009_CDF_13FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	3 hour	no
FP-7h-CL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	Ultraviolet Radiation	1	20240205_208_007_CDF_7hFPwithCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_208_007_CDF_7hFPwithCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	7 hour	yes
FP-7h-CL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	Ultraviolet Radiation	2	20240222_320_009_CDF_8FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240222_320_009_CDF_8FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	7 hour	yes
FP-7h-CL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	Ultraviolet Radiation	3	20240222_326_009_CDF_16FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240222_326_009_CDF_16FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	7 hour	yes
FP-7h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	untreated	1	20240205_198_007_CDF_7hFP-CL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_198_007_CDF_7hFP-CL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	7 hour	no
FP-7h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	untreated	2	20240212_258_009_CDF_7FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240212_258_009_CDF_7FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	7 hour	no
FP-7h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	7 hour	untreated	3	20240212_264_009_CDF_15FP	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240212_264_009_CDF_15FP.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	7 hour	no
FP-12h-noCL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	untreated	1	20240410_758_021_CDF_50cm_41_FP12h-noCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_758_021_CDF_50cm_41_FP12h-noCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	12 hour	no
FP-12h-noCL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	untreated	2	20240410_761_021_CDF_50cm_49_FP12h-noCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_761_021_CDF_50cm_49_FP12h-noCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	12 hour	no
FP-12h-noCL-R3	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	12 hour	untreated	3	20240410_764_021_CDF_50cm_57_FP12h-noCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240410_764_021_CDF_50cm_57_FP12h-noCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	FP	12 hour	no
RBP-0h-CL-R1	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	Ultraviolet Radiation	1	20240205_182_007_CDF_0hRBPwithCL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240205_182_007_CDF_0hRBPwithCL.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	0 hour	yes
RBP-0h-CL-R2	Bacillus subtilis subsp. subtilis str. 168	not applicable	not applicable	not applicable	cell	0 hour	Ultraviolet Radiation	2	20240209_237_009_CDF_26I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Met-loss;AC=UNIMOD:765;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	10 ppm	0.02 Da	350m/z-1900m/z	2	1	1	20240209_237_009_CDF_26I.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RBP	0 hour	yes
