source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
032918_G1vsG14NQO_A_H2	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	032918_G1vsG14NQO_A_H2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	032918_G1vsG14NQO_A_H2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/032918_G1vsG14NQO_A_H2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
102017_G1vsG14nQO_A_3pct	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	102017_G1vsG14nQO_A_3pct	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	102017_G1vsG14nQO_A_3pct.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/102017_G1vsG14nQO_A_3pct.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
113015_G2M_DDC1FLvsDNA2aad_HILIC_1	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	113015_G2M_DDC1FLvsDNA2aad_HILIC_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	113015_G2M_DDC1FLvsDNA2aad_HILIC_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/113015_G2M_DDC1FLvsDNA2aad_HILIC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
011317_DNA2AAvsddc1_H9	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	011317_DNA2AAvsddc1_H9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	011317_DNA2AAvsddc1_H9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/011317_DNA2AAvsddc1_H9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
052216_MMS_DDC1vsDNA2aad_1_H4	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	052216_MMS_DDC1vsDNA2aad_1_H4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	052216_MMS_DDC1vsDNA2aad_1_H4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/052216_MMS_DDC1vsDNA2aad_1_H4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
060116_RIF1vsrif1_H8_160607141428	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	060116_RIF1vsrif1_H8_160607141428	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	060116_RIF1vsrif1_H8_160607141428.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/060116_RIF1vsrif1_H8_160607141428.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
041116_rif1_17ul_HILIC_6	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	6	041116_rif1_17ul_HILIC_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	041116_rif1_17ul_HILIC_6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/041116_rif1_17ul_HILIC_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
031517_MADvsSgs1MAD_H7_170320201853	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	031517_MADvsSgs1MAD_H7_170320201853	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	031517_MADvsSgs1MAD_H7_170320201853.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/031517_MADvsSgs1MAD_H7_170320201853.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
052417_Petrini_exp1_A_H8	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	052417_Petrini_exp1_A_H8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	052417_Petrini_exp1_A_H8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/052417_Petrini_exp1_A_H8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
041116_rif1_17ul_HILIC_5	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	5	041116_rif1_17ul_HILIC_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	041116_rif1_17ul_HILIC_5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/041116_rif1_17ul_HILIC_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
062815_G2M_ddc1DNA2AAvs164_Hilic1_1	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	062815_G2M_ddc1DNA2AAvs164_Hilic1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	062815_G2M_ddc1DNA2AAvs164_Hilic1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/062815_G2M_ddc1DNA2AAvs164_Hilic1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
011316_MMS_DDC1FLvsDNA2aad_12ul_4pct	saccharomyces cerevisiae	not available	not applicable	not available	enrichment of phosphorylated protein	1	011316_MMS_DDC1FLvsDNA2aad_12ul_4pct	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMT6plex;AC=UNIMOD:737;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	011316_MMS_DDC1FLvsDNA2aad_12ul_4pct.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/09/PXD012395/011316_MMS_DDC1FLvsDNA2aad_12ul_4pct.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
