source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[sampling time]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[sampling time]
sparkling wine yeast D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-11_sparkling_90_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-3_D90_45min_143.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
sparkling wine yeast D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-12_sparkling_90_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-3_D90_45min_144.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
sparkling wine yeast D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-13_sparkling_120_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-3_D120_45min_146.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
sparkling wine yeast D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-14_sparkling_120_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-3_D120_45min_147.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
sparkling wine yeast D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-15_sparkling_120_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-3_D120_45min_148.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
sparkling wine yeast D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-16_sparkling_14_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-4_D14_45min_150.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
sparkling wine yeast D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-17_sparkling_14_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-4_D14_45min_151.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
sparkling wine yeast D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-18_sparkling_14_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-4_D14_45min_152.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
sparkling wine yeast D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-19_sparkling_30_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-4_D30_45min_154.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
sparkling wine yeast D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-20_sparkling_30_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-4_D30_45min_155.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
sparkling wine yeast D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-21_sparkling_30_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-4_D30_45min_156.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
sparkling wine yeast D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-22_sparkling_60_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-4_D60_45min_158.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
sparkling wine yeast D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-23_sparkling_60_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-4_D60_45min_159.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
sparkling wine yeast D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-24_sparkling_60_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-4_D60_45min_160.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
sparkling wine yeast D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-25_sparkling_90_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-4_D90_45min_162.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
sparkling wine yeast D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-26_sparkling_90_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-4_D90_45min_163.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
sparkling wine yeast D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-27_sparkling_90_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-4_D90_45min_164.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
sparkling wine yeast D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-28_sparkling_120_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-4_D120_45min_167.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
sparkling wine yeast D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-29_sparkling_120_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-4_D120_45min_168.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
sparkling wine yeast D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-30_sparkling_120_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-4_D120_45min_254.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
ale brewing yeast 2 D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-31_ale_14_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-7_D14_45min_214.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
ale brewing yeast 2 D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-32_ale_14_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-7_D14_45min_215.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
ale brewing yeast 2 D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-33_ale_14_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-7_D14_45min_216.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
ale brewing yeast 2 D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-34_ale_30_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-7_D30_45min_218.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
ale brewing yeast 2 D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-35_ale_30_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-7_D30_45min_219.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
ale brewing yeast 2 D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-36_ale_30_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-7_D30_45min_220.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
ale brewing yeast 2 D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-37_ale_90_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-7_D90_45min_226.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
ale brewing yeast 2 D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-38_ale_90_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-7_D90_45min_227.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
ale brewing yeast 2 D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-39_ale_90_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-7_D90_45min_228.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
ale brewing yeast 2 D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-40_ale_120_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-7_D120_45min_230.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
ale brewing yeast 2 D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-41_ale_120_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-7_D120_45min_231.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
ale brewing yeast 2 D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-42_ale_120_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-7_D120_45min_232.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
ale brewing yeast 2 D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-43_ale_60_1_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	1	1	20231208_200ng_Ale-7_DF2_D60_45min_290.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
ale brewing yeast 2 D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-44_ale_60_1_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	3	2	20231208_200ng_Ale-7_DF2_D60_45min_291.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
ale brewing yeast 2 D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-45_ale_60_1_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	5	3	20231208_200ng_Ale-7_DF2_D60_45min_292.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
ale brewing yeast 2 D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-46_ale_14_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-8_D14_45min_234.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
ale brewing yeast 2 D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-47_ale_14_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-8_D14_45min_235.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
ale brewing yeast 2 D14	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	14 day	14	run-48_ale_14_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-8_D14_45min_236.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	14 day
ale brewing yeast 2 D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-49_ale_30_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-8_D30_45min_239.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
ale brewing yeast 2 D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-50_ale_30_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-8_D30_45min_240.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
ale brewing yeast 2 D30	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	30 day	30	run-51_ale_30_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-8_D30_45min_241.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	30 day
ale brewing yeast 2 D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-52_ale_90_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-8_D90_45min_246.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
ale brewing yeast 2 D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-53_ale_90_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-8_D90_45min_247.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
ale brewing yeast 2 D90	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	90 day	90	run-54_ale_90_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-8_D90_45min_248.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	90 day
ale brewing yeast 2 D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-55_ale_120_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-8_D120_45min_250.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
ale brewing yeast 2 D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-56_ale_120_2_2	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	4	2	20231208_200ng_Ale-8_D120_45min_251.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
ale brewing yeast 2 D120	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	120 day	120	run-57_ale_120_2_3	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	6	3	20231208_200ng_Ale-8_D120_45min_252.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	120 day
ale brewing yeast 2 D60	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	not applicable	1	60 day	60	run-58_ale_60_2_1	proteomic profiling by mass spectrometry	Data-independent acquisition	ZenoTOF 7600	NT=label free sample;AC=MS:1002038	Trypsin	2	1	20231208_200ng_Ale-8_DF2_D60_45min_294.wiff.scan	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	60 day
