source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Orbi_0999_07	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	7	Orbi_0999_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_0999_07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_0999_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_01c	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_01c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_01c.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_01c.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1004_04f	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1004_04f	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1004_04f.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1004_04f.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_01e	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_01e	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_01e.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_01e.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1004_03f	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1004_03f	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1004_03f.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1004_03f.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1004_04d	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1004_04d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1004_04d.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1004_04d.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_03b	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_03b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_03b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_03b.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1003_01	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1003_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1003_01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1003_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_03e	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_03e	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_03e.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_03e.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_0999_08	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	8	Orbi_0999_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_0999_08.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_0999_08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1004_02c	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1004_02c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1004_02c.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1004_02c.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1004_03e	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1004_03e	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1004_03e.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1004_03e.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_04g	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_04g	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_04g.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_04g.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi1_0908_08	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	8	Orbi1_0908_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi1_0908_08.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi1_0908_08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi1_0908_07	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	7	Orbi1_0908_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi1_0908_07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi1_0908_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1004_01d	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1004_01d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1004_01d.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1004_01d.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_01b	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_01b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_01b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_01b.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_01d	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_01d	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_01d.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_01d.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_02f	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_02f	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_02f.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_02f.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1004_03b	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1004_03b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1004_03b.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1004_03b.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_01g	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_01g	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_01g.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_01g.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_0999_06	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	6	Orbi_0999_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_0999_06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_0999_06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1003_06	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	6	Orbi_1003_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1003_06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1003_06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1003_07	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	7	Orbi_1003_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1003_07.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1003_07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_02e	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_02e	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_02e.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_02e.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
Orbi_1037_03c	homo sapiens	not available	Jurkat cell	not available	enrichment of phosphorylated protein	Jurkat	CVCL_0065	Jurkat	1	Orbi_1037_03c	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	Orbi_1037_03c.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/02/PXD002055/Orbi_1037_03c.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation
