source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[dia method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]	factor value[treatment]
S11	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S11_B-A11_1_8208	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S11_B-A11_1_8208.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S12	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S12_B-A12_1_8209	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S12_B-A12_1_8209.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S13	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S13_B-B1_1_8210	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S13_B-B1_1_8210.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S14	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S14_B-B2_1_8211	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S14_B-B2_1_8211.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S15	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S15_B-B3_1_8212	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S15_B-B3_1_8212.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S16	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S16_B-B4_1_8213	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S16_B-B4_1_8213.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S17	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S17_B-B5_1_8214	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S17_B-B5_1_8214.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S18	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S18_B-B6_1_8215	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S18_B-B6_1_8215.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S19	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S19_B-B7_1_8216	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S19_B-B7_1_8216.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S20	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S20_B-B8_1_8217	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S20_B-B8_1_8217.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S21	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S21_B-B9_1_8218	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S21_B-B9_1_8218.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S22	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S22_B-B10_1_8219	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S22_B-B10_1_8219.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
S23	Sorghum bicolor	not available	not applicable	normal	seedling development stage	BTx623	filter paper, 28 C, darkness, 5 d after 16 h pre-germination in tap water	not available	organism part	study sample	pooled	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S23_B-B11_1_8220	proteomic profiling by mass spectrometry	NT=timsTOF Pro 2;AC=MS:1003230	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin/P;AC=MS:1001313	Data-independent acquisition	not available	not available	not available	not available	NT=time-of-flight;AC=MS:1000084	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	400	1201	25	NT=diaPASEF;AC=PRIDE:0000650	1	1	20231016_PRI_TIMS5_NEO2_X1203_P242_R916_101min_DIA_S23_B-B11_1_8220.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	manual curation	not available	not available
