source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
2907_BT_C4_130806100427	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C4_130806100427	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C4_130806100427.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C4_130806100427.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
110314_FIHsi2	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	110314_FIHsi2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	110314_FIHsi2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/110314_FIHsi2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C15	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
110314_FIHsi2_140311214750	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	110314_FIHsi2_140311214750	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	110314_FIHsi2_140311214750.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/110314_FIHsi2_140311214750.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C1_130803105215	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C1_130803105215	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C1_130803105215.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C1_130803105215.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
110314_FIHsi1_140311204015	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	110314_FIHsi1_140311204015	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	110314_FIHsi1_140311204015.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/110314_FIHsi1_140311204015.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C11	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C7	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C3_130803130717	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C3_130803130717	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C3_130803130717.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C3_130803130717.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C5_130806111200	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C5_130806111200	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C5_130806111200.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C5_130806111200.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
110314_FIHsi3	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	110314_FIHsi3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	110314_FIHsi3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/110314_FIHsi3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C10_130805235642	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C10_130805235642	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C10_130805235642.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C10_130805235642.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C11_130806010413	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C11_130806010413	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C11_130806010413.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C11_130806010413.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C7_130805203404	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C7_130805203404	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C7_130805203404.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C7_130805203404.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C12	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C13_130806064151	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C13_130806064151	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C13_130806064151.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C13_130806064151.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C4_130803173717	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C4_130803173717	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C4_130803173717.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C4_130803173717.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
2907_BT_C8_130805214142	homo sapiens	kidney	HEK293	not available	HEK293	CVCL_0045	HEK293	1	2907_BT_C8_130805214142	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	6 ppm	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	2907_BT_C8_130805214142.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002103/2907_BT_C8_130805214142.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	kidney
