source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	3	3	MTB_CID_B3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	4	1	MTBCF4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	4	2	MTB_CID_A4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	4	3	MTB_CID_B4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	4	4	MTB_CID_C4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	5	1	MTBCF5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	5	2	MTB_CID_A5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	5	3	MTB_CID_B5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	6	1	MTBCF6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	6	2	MTB_CID_A6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	6	3	MTB_CID_B6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	7	1	MTBCF7_091119162708.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	7	2	MTB_CID_A7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	7	3	MTB_CID_B7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	8	1	MTBCF8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	8	2	MTB_CID_A8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	8	3	MTB_CID_B8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	9	1	MTBCF9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	9	2	MTB_CID_A9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	9	3	MTB_CID_B9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	10	1	MTBCF10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	10	2	MTB_CID_A10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	11	1	MTBCF11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	11	2	MTB_CID_A11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	11	3	MTB_CID_B11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	11	4	MTB_CID_B11_091023094609.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	12	1	MTBCF12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
mtb_h37rv_reference	Mycobacterium tuberculosis	not applicable	not applicable	normal	not available	not available	not available	H37Rv	cell	1	run_38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	12	2	MTB_CID_A12_15K.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	in-gel SDS-PAGE
