source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[host organism]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[phenotype]
Amblyomma_rabbit_2	Ixodes scapularis	saliva	not available	not available	Oryctolagus cuniculus	Amblyomma_rabbit	2	run_11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	4	Amblyomma_4_rabbit_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_rabbit
Amblyomma_rabbit_3	Ixodes scapularis	saliva	not available	not available	Oryctolagus cuniculus	Amblyomma_rabbit	3	run_12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	4	Amblyomma_4_rabbit_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	Amblyomma_rabbit
non_stim_ixodes_1	Ixodes scapularis	saliva	not available	not available	not applicable	non_stim_ixodes	1	run_13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	5	Ixodes_1_non-stim_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	non_stim_ixodes
non_stim_ixodes_2	Ixodes scapularis	saliva	not available	not available	not applicable	non_stim_ixodes	2	run_14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	5	Ixodes_1_non-stim_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	non_stim_ixodes
non_stim_ixodes_3	Ixodes scapularis	saliva	not available	not available	not applicable	non_stim_ixodes	3	run_15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	5	Ixodes_1_non-stim_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	non_stim_ixodes
dog_ixodes_1	Ixodes scapularis	saliva	not available	not available	Canis lupus familiaris	dog_ixodes	1	run_16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	6	Ixodes_2_dog_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dog_ixodes
dog_ixodes_2	Ixodes scapularis	saliva	not available	not available	Canis lupus familiaris	dog_ixodes	2	run_17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	6	Ixodes_2_dog_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dog_ixodes
dog_ixodes_3	Ixodes scapularis	saliva	not available	not available	Canis lupus familiaris	dog_ixodes	3	run_18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	6	Ixodes_2_dog_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	dog_ixodes
human_ixodes_1	Ixodes scapularis	saliva	not available	not available	Homo sapiens	human_ixodes	1	run_19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	7	Ixodes_3_human_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	human_ixodes
human_ixodes_2	Ixodes scapularis	saliva	not available	not available	Homo sapiens	human_ixodes	2	run_20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	7	Ixodes_3_human_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	human_ixodes
human_ixodes_3	Ixodes scapularis	saliva	not available	not available	Homo sapiens	human_ixodes	3	run_21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	7	Ixodes_3_human_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	human_ixodes
rabbit_ixodes_1	Ixodes scapularis	saliva	not available	not available	Oryctolagus cuniculus	rabbit_ixodes	1	run_22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	8	Ixodes_4_rabbit_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	rabbit_ixodes
rabbit_ixodes_2	Ixodes scapularis	saliva	not available	not available	Oryctolagus cuniculus	rabbit_ixodes	2	run_23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	40 ppm	7 ppm	1	8	Ixodes_4_rabbit_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	rabbit_ixodes
