source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200724_EXPL2_JoMu_SA_Thrombo_2_04	Ursus arctos horribilis	Blood plasma	1	20200724_EXPL2_JoMu_SA_Thrombo_2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200724_EXPL2_JoMu_SA_Thrombo_2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F2_2_03	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F2_2_01	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_1_4	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_1_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200724_EXPL2_JoMu_SA_Thrombo_2_03	Ursus arctos horribilis	Blood plasma	1	20200724_EXPL2_JoMu_SA_Thrombo_2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200724_EXPL2_JoMu_SA_Thrombo_2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200724_EXPL2_JoMu_SA_Thrombo_1_04	Ursus arctos horribilis	Blood plasma	1	20200724_EXPL2_JoMu_SA_Thrombo_1_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200724_EXPL2_JoMu_SA_Thrombo_1_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F2_2_02	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F2_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_2_4	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_2_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200724_EXPL2_JoMu_SA_Thrombo_1_05	Ursus arctos horribilis	Blood plasma	1	20200724_EXPL2_JoMu_SA_Thrombo_1_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200724_EXPL2_JoMu_SA_Thrombo_1_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200724_EXPL2_JoMu_SA_Thrombo_2_06	Ursus arctos horribilis	Blood plasma	1	20200724_EXPL2_JoMu_SA_Thrombo_2_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200724_EXPL2_JoMu_SA_Thrombo_2_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_2_6_KM_DMSO_Col	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_2_6_KM_DMSO_Col	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_2_6_KM_DMSO_Col.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
