source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[genotype]	characteristics[sampling time]	characteristics[sample type]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[dia method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[isolation window width]	comment[scan window lower limit]	comment[scan window upper limit]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[cell type]	factor value[genotype]	factor value[sampling time]
d30-iN-GRN-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	30 day	study sample	cell	2	run aa03635_yh_fk_132_GRN_iN_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03635_yh_fk_132_GRN_iN_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GRN	30 day
d30-iDA-SMPD1-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	30 day	study sample	cell	2	run aa03630_yh_fk_132_SMPD1_DA_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03630_yh_fk_132_SMPD1_DA_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	SMPD1	30 day
d30-pool-3	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	30 day	quality control sample	cell	1	run aa03663_yh_fk_132_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03663_yh_fk_132_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	30 day
d30-iN-ASAH1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	30 day	study sample	cell	2	run aa03653_yh_fk_132_ASAH1_iN_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03653_yh_fk_132_ASAH1_iN_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ASAH1	30 day
d30-iN-GBA1-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	30 day	study sample	cell	1	run aa03658_yh_fk_132_GBA_iN_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03658_yh_fk_132_GBA_iN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GBA1	30 day
d30-iN-SMPD1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	30 day	study sample	cell	2	run aa03645_yh_fk_132_SMPD1_iN_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03645_yh_fk_132_SMPD1_iN_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	SMPD1	30 day
d30-pool-4	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	30 day	quality control sample	cell	1	run aa03639_yh_fk_132_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03639_yh_fk_132_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	30 day
d30-iN-wildtype-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	30 day	study sample	cell	2	run aa03626_yh_fk_132_ctrl_iN_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03626_yh_fk_132_ctrl_iN_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	wild type	30 day
d30-iDA-ASAH1-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	30 day	study sample	cell	2	run aa03646_yh_fk_132_ASAH1_DA_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03646_yh_fk_132_ASAH1_DA_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ASAH1	30 day
d30-iDA-GRN-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	30 day	study sample	cell	3	run aa03627_yh_fk_132_GRN_DA_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03627_yh_fk_132_GRN_DA_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GRN	30 day
d30-iN-SMPD1-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	30 day	study sample	cell	1	run aa03638_yh_fk_132_SMPD1_iN_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03638_yh_fk_132_SMPD1_iN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	SMPD1	30 day
d30-iDA-wildtype-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	30 day	study sample	cell	3	run aa03636_yh_fk_132_ctrl_DA_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03636_yh_fk_132_ctrl_DA_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	wild type	30 day
d30-iDA-ASAH1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	30 day	study sample	cell	1	run aa03644_yh_fk_132_ASAH1_DA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03644_yh_fk_132_ASAH1_DA_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ASAH1	30 day
d30-iN-ASAH1-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	30 day	study sample	cell	1	run aa03657_yh_fk_132_ASAH1_iN_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03657_yh_fk_132_ASAH1_iN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	ASAH1	30 day
d30-iDA-wildtype-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	30 day	study sample	cell	2	run aa03625_yh_fk_132_ctrl_DA_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03625_yh_fk_132_ctrl_DA_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	wild type	30 day
d30-iDA-ASAH1-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	ASAH1	30 day	study sample	cell	3	run aa03633_yh_fk_132_ASAH1_DA_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03633_yh_fk_132_ASAH1_DA_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	ASAH1	30 day
d30-iN-wildtype-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	30 day	study sample	cell	3	run aa03660_yh_fk_132_ctrl_iN_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03660_yh_fk_132_ctrl_iN_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	wild type	30 day
d30-pool-5	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	30 day	quality control sample	cell	1	run aa03655_yh_fk_132_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03655_yh_fk_132_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	30 day
d30-iDA-SMPD1-r3	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	30 day	study sample	cell	3	run aa03649_yh_fk_132_SMPD1_DA_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03649_yh_fk_132_SMPD1_DA_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	SMPD1	30 day
d30-iDA-wildtype-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	30 day	study sample	cell	1	run aa03654_yh_fk_132_ctrl_DA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03654_yh_fk_132_ctrl_DA_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	wild type	30 day
d30-iN-GBA1-r3	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	30 day	study sample	cell	3	run aa03652_yh_fk_132_GBA_iN_3	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03652_yh_fk_132_GBA_iN_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GBA1	30 day
d30-iN-GRN-r1	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GRN	30 day	study sample	cell	1	run aa03661_yh_fk_132_GRN_iN_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03661_yh_fk_132_GRN_iN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GRN	30 day
d30-pool-6	Homo sapiens	brain	not applicable	normal	adult	not available	not available	not available	not applicable	not applicable	30 day	quality control sample	cell	1	run aa03631_yh_fk_132_pool	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03631_yh_fk_132_pool.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not applicable	not applicable	30 day
d30-iN-GBA1-r2	Homo sapiens	brain	glutamatergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	30 day	study sample	cell	2	run aa03634_yh_fk_132_GBA_iN_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03634_yh_fk_132_GBA_iN_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	glutamatergic neuron	GBA1	30 day
d30-iDA-GBA1-r2	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	30 day	study sample	cell	2	run aa03641_yh_fk_132_GBA_DA_2	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03641_yh_fk_132_GBA_DA_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GBA1	30 day
d30-iDA-GBA1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	GBA1	30 day	study sample	cell	1	run aa03659_yh_fk_132_GBA_DA_1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa03659_yh_fk_132_GBA_DA_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	GBA1	30 day
d50-iDA-SMPD1-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	SMPD1	50 day	study sample	cell	1	run aa04201_yh_fk_d50_iDA_SMPD1_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04201_yh_fk_d50_iDA_SMPD1_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	SMPD1	50 day
d50-iDA-wildtype-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	wild type	50 day	study sample	cell	1	run aa04196_yh_fk_d50_iDA_Ctrl_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04196_yh_fk_d50_iDA_Ctrl_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	wild type	50 day
d50-iDA-CLN8-r1	Homo sapiens	brain	dopaminergic neuron	normal	adult	not available	not available	not available	not applicable	CLN8	50 day	study sample	cell	1	run aa04291_yh_fk_d50_iDA_CLN8_rep1	proteomic profiling by mass spectrometry	Data-independent acquisition	not available	NT=Orbitrap Astral;AC=MS:1003378	label free sample	NT=Trypsin;AC=MS:1001251	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	not available	not available	not available	1	1	aa04291_yh_fk_d50_iDA_CLN8_rep1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	dopaminergic neuron	CLN8	50 day
