source name	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[collection date]	characteristics[water body type]	characteristics[sample collection method]	characteristics[depth]	characteristics[sampling depth zone]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[metagenome accession]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
Lab_438_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_438_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_438_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_438_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_438_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_438_3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_438_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_438_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_593_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_593_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_593_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_593_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_652_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_652_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_652_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_652_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_652_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_652_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_652_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_652_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_593_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_653_3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_653_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_653_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_729_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_729_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_729_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_729_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_729_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_729_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_729_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_729_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_729_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_729_3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_729_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_729_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_774_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_774_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_774_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_774_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_774_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_774_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_774_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_774_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_774_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_774_3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_774_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_774_3.raw	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Eclipse;AC=MS:1003029	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_811_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_811_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_811_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_811_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
Lab_811_sample	marine metagenome	not applicable	seawater	Atlantic Ocean	seawater	2018-06-16	ocean	in situ pump filtration	80 m	epipelagic	1	Lab_811_2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJNA932835	Lab_811_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2024/05/PXD043218/Lab_811_2.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0
