source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[depletion method]	characteristics[depletion]	characteristics[developmental stage]	characteristics[individual]	characteristics[sex]	characteristics[timepoint]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[separation]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD041728-Sample-11	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	4	not available	pre	4	assay_444_PRE	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_444_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_2019073_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_444_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_2019073_QE.raw	hdl
PXD041728-Sample-12	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	4	not available	washout	4	assay_444_WASHOUT	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_444_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_444_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-13	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	5	not available	post	5	assay_489_POST	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_489_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_489_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-14	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	5	not available	pre	5	assay_498_PRE	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_498_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_498_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-15	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	5	not available	washout	5	assay_498_WASHOUT	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_498_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_498_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-16	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	6	not available	post	6	assay_789_POST	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_789_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_789_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-17	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	6	not available	pre	6	assay_789_PRE	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_789_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_789_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-18	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	6	not available	washout	6	assay_789_WASHOUT	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_789_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_789_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-19	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	7	not available	post	7	assay_886_POST	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_886_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_886_POST_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-20	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	7	not available	pre	7	assay_886_PRE	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_886_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_886_PRE_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
PXD041728-Sample-21	Homo sapiens	hdl	normal	not applicable	not available	not available	not applicable	not applicable	not available	7	not available	washout	7	assay_886_WASHOUT	proteomic profiling by mass spectrometry	AC=MS:1002523;NT=Q Exactive HF	AC=MS:1002038;NT=label free sample	1	not applicable	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	not available	not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2025/05/PXD041728/PAMI-735_Human_HDL_886_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	1.0005 Da	1.25 Da	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	PAMI-735_Human_HDL_886_WASHOUT_500ng_PSRtrapHishamcolumn_25cm_90min_20190730_QE.raw	hdl
